Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T040_001,SE_T040_002,SE_T040_003,SE_T041_001,SE_T041_002,SE_T041_003,SE_T042_001,SE_T042_002,SE_T042_003,SE_T043_001,SE_T043_002,SE_T043_003,SE_T044_001,SE_T044_002,SE_T044_003,SE_T045_001,SE_T045_002,SE_T045_003,SE_T048_001,SE_T048_002,SE_T048_003
"Autauga County","Autauga County, Alabama","G0100010","0100010","11","01001","01","001",13498,12591,907,8048,7575,473,5450,5016,434,11057,10518,539,2377,2009,368,41,41,0,158,152,6
"Baldwin County","Baldwin County, Alabama","G0100030","0100030","11","01003","01","003",32260,29807,2453,19413,18374,1039,12847,11433,1414,27691,26065,1626,4272,3480,792,207,173,34,282,262,20
"Barbour County","Barbour County, Alabama","G0100050","0100050","11","01005","01","005",9410,8642,768,5279,4899,380,4131,3743,388,5938,5612,326,3415,2973,442,0,0,0,130,124,6
"Bibb County","Bibb County, Alabama","G0100070","0100070","11","01007","01","007",5919,5377,542,3746,3429,317,2173,1948,225,4819,4408,411,1095,964,131,0,0,0,58,50,8
"Blount County","Blount County, Alabama","G0100090","0100090","11","01009","01","009",14851,13713,1138,9395,8695,700,5456,5018,438,14534,13430,1104,235,206,29,58,53,5,94,89,5
"Bullock County","Bullock County, Alabama","G0100110","0100110","11","01011","01","011",3607,3264,343,1883,1778,105,1724,1486,238,0,0,0,2082,1803,279,0,0,0,86,70,16
"Butler County","Butler County, Alabama","G0100130","0100130","11","01013","01","013",8276,7691,585,4645,4344,301,3631,3347,284,5547,5280,267,2711,2405,306,0,0,0,71,61,10
"Calhoun County","Calhoun County, Alabama","G0100150","0100150","11","01015","01","015",46833,42549,4284,26370,24441,1929,20463,18108,2355,39595,36495,3100,6863,5741,1122,119,96,23,276,216,60
"Chambers County","Chambers County, Alabama","G0100170","0100170","11","01017","01","017",17242,15917,1325,9411,9020,391,7831,6897,934,12007,11322,685,5224,4584,640,0,0,0,75,67,8
"Cherokee County","Cherokee County, Alabama","G0100190","0100190","11","01019","01","019",7984,7393,591,4695,4349,346,3289,3044,245,7301,6778,523,672,604,68,0,0,0,55,53,2
"Chilton County","Chilton County, Alabama","G0100210","0100210","11","01021","01","021",12221,11080,1141,7714,7022,692,4507,4058,449,11003,10145,858,1210,933,277,0,0,0,58,51,7
"Choctaw County","Choctaw County, Alabama","G0100230","0100230","11","01023","01","023",5807,5342,465,3545,3307,238,2262,2035,227,3555,3371,184,2244,1969,275,0,0,0,57,50,7
"Clarke County","Clarke County, Alabama","G0100250","0100250","11","01025","01","025",10306,9483,823,6368,5947,421,3938,3536,402,6671,6321,350,3586,3119,467,39,33,6,84,76,8
