GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,C67001,C67002,C67003,C67004,C67005,C67006,C67007,C67008,C67009,C67010,C67011,C67012,C67013,C67014,C67015,C67016,C67017,C67018,C67019,C67020,C67021,C67022,C67023,C67024,C67025,C67026,C7H001,C7H002,C7H003,C7H004,C7H005,C7H006,C7H007,C7W001,C7W002,C8J001
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,,"AUTAUGA COUNTY",539,1003,983,525,558,1869,2510,674,708,752,700,689,646,624,555,1484,2231,2232,4293,3373,1316,511,660,1848,795,181,563,972,7177,253,1104,89,39,8136,2061,37200
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,,"BALDWIN COUNTY",1247,2501,2366,1245,1279,4120,5340,1413,1523,1596,1568,1429,1320,1289,1122,3576,5726,5443,9024,7799,3979,1604,2198,6447,2726,676,1837,3017,18565,576,2419,207,154,21285,5490,41100
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,,"BARBOUR COUNTY",416,777,765,371,405,1405,1812,493,524,534,570,430,384,374,348,1056,1688,1734,2391,2368,1290,547,742,2110,970,252,584,1243,4974,239,1254,36,45,6049,2326,23800
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,,"BIBB COUNTY",256,477,511,299,247,849,1176,309,315,294,336,295,279,239,226,781,1171,1023,1736,1452,759,272,358,1282,632,149,347,656,3412,135,577,17,23,3934,1233,22500
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,,"BLOUNT COUNTY",516,1014,1024,522,556,1919,2519,651,703,696,709,624,638,615,506,1607,2677,2703,4642,3891,1757,724,929,2826,1203,288,717,1355,9454,266,819,52,19,10308,2374,30200
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,,"BULLOCK COUNTY",169,355,370,165,181,643,733,220,205,236,250,206,180,162,161,473,736,639,926,848,512,222,323,1078,442,161,271,533,1805,117,684,17,28,2507,948,19700
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,,"BUTLER COUNTY",412,708,712,367,369,1128,1482,368,402,451,437,343,305,350,306,931,1488,1295,2031,2067,1117,490,689,2060,1053,319,524,1142,4530,202,1018,30,25,5315,2156,20500
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,,"CALHOUN COUNTY",1701,3533,3485,1737,1694,5670,7729,1962,2139,2181,2255,3439,3439,3321,2817,7395,9934,8797,12713,11723,5586,2084,2818,7562,3235,812,2791,5005,25648,842,4394,555,416,27522,12129,31500
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,,"CHAMBERS COUNTY",559,1127,1180,644,662,2015,2697,748,743,736,737,692,620,586,557,1780,2796,2651,3875,3851,2065,893,1265,3698,1596,418,885,1944,8285,390,1874,89,53,10102,3418,24300
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,,"CHEROKEE COUNTY",287,528,519,271,290,950,1239,294,336,327,320,312,315,333,292,920,1344,1349,2244,2010,991,388,563,1519,646,173,331,735,4740,148,508,25,18,5065,1440,27500
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,,"CHILTON COUNTY",490,963,938,476,492,1553,2031,514,595,592,566,519,500,512,473,1484,2271,2130,3473,3129,1512,580,845,2563,1135,276,632,1380,7498,210,945,39,38,8588,2154,27700
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,,"CHOCTAW COUNTY",294,620,562,296,314,1000,1277,339,376,365,366,295,270,268,248,742,1134,1079,1803,1574,825,320,361,1305,657,149,399,645,3506,153,670,19,13,4474,931,21400
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,,"CLARKE COUNTY",489,974,965,485,500,1596,2108,539,596,607,629,494,469,482,417,1266,2006,1748,2918,2511,1145,491,712,2166,1043,346,681,1161,5666,261,1085,29,33,7031,1885,24500
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,,"CLAY COUNTY",214,426,370,232,222,694,947,247,292,266,260,238,248,216,193,585,872,927,1500,1370,629,274,403,1287,631,160,283,651,3289,103,416,11,14,3604,1163,23000
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,,"CLEBURNE COUNTY",182,360,359,191,197,647,850,231,247,263,228,235,188,199,174,628,884,911,1509,1322,585,264,348,974,493,126,222,484,3198,91,362,9,7,3439,934,25100
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,,"COFFEE COUNTY",598,1052,1121,569,600,1978,2530,737,758,769,787,708,645,576,591,1858,2911,3112,4597,4047,1934,750,926,2726,1305,348,824,1531,9331,271,1291,118,64,9799,3631,33500
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,,"COLBERT COUNTY",819,1495,1495,736,746,2639,3607,995,1061,1085,1149,976,995,851,871,2775,4241,3952,6409,5867,2992,1105,1545,3847,1780,486,1184,2290,13095,441,1952,121,98,14720,4461,32700
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,,"CONECUH COUNTY",305,542,467,241,264,821,1093,305,336,340,293,317,273,282,230,739,1115,953,1421,1492,757,295,482,1516,772,233,453,834,3314,150,664,19,22,4313,1143,18600
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,,"COOSA COUNTY",179,303,309,177,180,618,783,251,230,219,214,185,177,196,186,524,805,679,1144,1257,593,261,347,983,472,105,281,495,2586,105,402,24,6,3086,813,21000
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,,"COVINGTON COUNTY",542,979,951,468,492,1678,2257,622,659,682,659,661,637,514,527,1606,2355,2360,3960,3957,2161,909,1229,3777,1735,473,835,2280,8856,278,1358,88,52,10577,3170,22200
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,,"CRENSHAW COUNTY",214,417,432,188,226,725,896,251,281,236,275,246,219,236,196,600,898,917,1359,1385,785,322,448,1453,688,217,311,807,3108,106,642,33,17,3634,1390,18600
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,,"CULLMAN COUNTY",889,1674,1750,964,906,2980,4114,1091,1195,1197,1178,1052,1024,993,958,2891,4384,4450,7217,6658,3295,1329,1673,4955,2227,598,1163,2568,15858,430,1582,98,59,16906,4852,31600
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,,"DALE COUNTY",931,1670,1646,784,858,2550,3003,771,762,857,871,1026,1173,1187,1188,3687,4726,4026,5071,4024,1813,591,849,2312,1144,301,1058,1538,10402,322,1593,176,79,9049,6119,31900
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,,"DALLAS COUNTY",927,1858,1858,980,967,3039,4059,1117,1216,1215,1276,1086,1101,949,847,2703,3845,3494,5260,4907,2426,891,1281,4084,1982,613,1409,2610,9360,554,3332,174,151,10471,7119,29000
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,,"DE KALB COUNTY",876,1505,1542,832,854,2715,3640,897,943,971,934,924,852,862,835,2535,3905,3906,6116,5554,2724,1045,1492,4550,2129,520,1147,2514,13547,359,1565,65,50,15010,4237,26200
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,,"ELMORE COUNTY",671,1216,1281,713,633,2284,3040,810,829,897,813,758,746,722,684,2250,3456,3283,5043,4289,2130,820,1083,3063,1437,439,858,1567,9671,349,1424,85,70,11086,2938,36100
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,,"ESCAMBIA COUNTY",623,1159,1246,584,646,2103,2512,707,763,791,786,728,678,629,634,1856,2987,2834,4364,3740,1771,706,933,2914,1360,386,870,1742,7960,313,1612,82,74,9592,3061,25500
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,,"ETOWAH COUNTY",1559,2941,2891,1505,1590,5046,6778,1746,1900,1799,1788,1790,1715,1635,1636,5025,7817,7443,11230,10883,5857,2332,3047,8522,3705,877,2279,5085,24359,724,3959,260,198,27225,9639,28900
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,,"FAYETTE COUNTY",279,551,593,271,274,940,1228,337,322,343,347,330,323,326,245,862,1335,1283,2124,1870,967,388,549,1748,771,203,420,928,4597,165,550,34,16,5086,1624,24600
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,,"FRANKLIN COUNTY",438,805,762,399,432,1341,1795,505,501,513,515,452,488,455,436,1341,2073,1982,3345,3047,1448,560,832,2419,1177,289,555,1330,7196,187,875,37,29,7921,2288,27600
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,,"GENEVA COUNTY",366,672,701,353,389,1239,1687,424,441,456,469,404,397,378,344,1060,1644,1626,2695,2467,1257,512,742,2274,1023,233,493,1162,5855,192,813,30,27,6625,1947,22400
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,,"GREENE COUNTY",231,395,374,210,204,613,871,244,250,256,280,232,201,182,172,501,764,552,878,942,419,190,270,1100,538,152,347,524,1695,129,715,19,23,2378,1074,22200
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,,"HALE COUNTY",330,547,571,248,262,835,1123,323,353,371,387,321,309,266,251,712,1016,863,1301,1338,738,334,387,1401,775,242,373,685,2699,164,880,23,26,3574,1276,21200
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,,"HENRY COUNTY",239,465,518,245,263,837,1054,268,249,286,269,270,242,212,225,647,1167,1051,1576,1459,815,310,441,1422,627,145,331,723,3365,153,645,23,18,4027,1231,26100
