GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,C9L001,C9L002,C9L003,C9L004,C9L005,C9L006,C9L007,C9L008,C9L009,C9L010
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,"AUTAUGA COUNTY",211,107,4,6,35,24603,7118,54,76,45
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,"BALDWIN COUNTY",613,91,14,5,72,65227,11957,418,91,68
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,"BARBOUR COUNTY",71,191,2,2,2,13622,10812,28,23,3
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,"BIBB COUNTY",66,107,0,0,3,11963,3568,2,11,3
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,"BLOUNT COUNTY",185,0,2,1,16,35576,598,54,17,10
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,"BULLOCK COUNTY",24,134,0,1,1,3403,7026,1,3,3
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,"BUTLER COUNTY",56,232,0,1,0,13204,8165,5,12,5
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,"CALHOUN COUNTY",670,104,22,53,480,96643,20970,199,455,165
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,"CHAMBERS COUNTY",100,230,3,2,22,25122,13664,13,21,14
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,"CHEROKEE COUNTY",71,29,0,0,0,17114,1521,15,8,2
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,"CHILTON COUNTY",127,30,0,6,4,26815,3603,9,14,4
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,"CHOCTAW COUNTY",33,129,0,1,1,9457,7190,7,9,12
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,"CLARKE COUNTY",65,229,4,2,7,15741,11598,38,14,4
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,"CLAY COUNTY",57,36,0,0,1,11367,2232,4,4,2
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,"CLEBURNE COUNTY",69,0,0,1,1,11856,647,4,11,6
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,"COFFEE COUNTY",213,72,3,4,57,31423,6460,64,165,72
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,"COLBERT COUNTY",182,78,2,2,16,45027,9068,66,61,17
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,"CONECUH COUNTY",56,137,0,0,2,9255,6397,26,11,0
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,"COOSA COUNTY",19,93,0,0,1,7392,3857,8,1,6
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,"COVINGTON COUNTY",195,42,6,6,9,31723,4793,29,38,9
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,"CRENSHAW COUNTY",31,88,0,1,8,10341,3605,25,10,1
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,"CULLMAN COUNTY",278,15,0,4,13,60650,513,71,75,23
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,"DALE COUNTY",570,101,12,31,359,38174,7727,186,500,161
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,"DALLAS COUNTY",106,466,0,3,19,24099,29022,37,48,181
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,"DE KALB COUNTY",230,12,13,4,22,52308,927,77,40,25
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,"ELMORE COUNTY",151,169,4,6,16,33434,9486,25,52,47
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,"ESCAMBIA COUNTY",131,139,1,1,8,25925,11237,950,32,16
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,"ETOWAH COUNTY",365,90,1,7,60,88441,13719,122,147,105
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,"FAYETTE COUNTY",93,15,0,0,7,16285,2381,7,17,4
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,"FRANKLIN COUNTY",152,23,2,1,5,26839,1278,20,27,3
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,"GENEVA COUNTY",118,61,0,0,31,20901,3021,100,14,7
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,"GREENE COUNTY",16,159,0,0,0,2389,8437,2,5,13
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,"HALE COUNTY",29,278,0,0,1,5745,9521,17,12,1
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,"HENRY COUNTY",32,103,0,0,1,9441,5696,24,4,1
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,"HOUSTON COUNTY",333,185,8,0,52,57069,16426,226,281,52
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,"JACKSON COUNTY",303,10,2,1,24,48687,2140,187,41,12
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,"JEFFERSON COUNTY",2233,1971,13,45,213,442193,221788,522,1670,676
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,"LAMAR COUNTY",117,38,0,0,1,14340,1937,11,8,1
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,"LAUDERDALE COUNTY",391,89,1,11,28,71984,7756,99,139,48
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,"LAWRENCE COUNTY",117,66,0,0,7,24896,5008,40,13,23
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,"LEE COUNTY",359,351,1,18,62,56510,18301,105,391,185
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,"LIMESTONE COUNTY",200,60,1,4,18,39151,6479,35,41,16
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,"LOWNDES COUNTY",13,195,0,1,4,3291,9742,2,4,1
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,"MACON COUNTY",36,283,0,1,25,3998,22296,26,71,93
"G0100890","1980","3","6","Alabama","01","3440","Madison","089",,,,,,,,,"MADISON COUNTY",1284,348,25,57,372,153498,38721,418,1451,792
"G0100910","1980","3","6","Alabama","01",,"Marengo","091",,,,,,,,,"MARENGO COUNTY",54,487,0,1,4,11609,12859,11,18,4
"G0100930","1980","3","6","Alabama","01",,"Marion","093",,,,,,,,,"MARION COUNTY",160,1,2,1,10,29090,700,33,34,10
"G0100950","1980","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,"MARSHALL COUNTY",335,2,2,5,15,64109,1014,60,61,19
"G0100970","1980","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,"MOBILE COUNTY",2226,1166,39,36,363,244467,113621,1120,1214,728
"G0100990","1980","3","6","Alabama","01",,"Monroe","099",,,,,,,,,"MONROE COUNTY",59,115,0,0,3,12690,9627,119,31,7
"G0101010","1980","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,"MONTGOMERY COUNTY",797,812,12,26,177,117098,76802,194,701,419
"G0101030","1980","3","6","Alabama","01",,"Morgan","103",,,,,,,,,"MORGAN COUNTY",408,123,5,3,32,80723,8693,96,100,48
"G0101050","1980","3","6","Alabama","01",,"Perry","105",,,,,,,,,"PERRY COUNTY",18,150,0,0,3,5953,8869,7,11,1
"G0101070","1980","3","6","Alabama","01",,"Pickens","107",,,,,,,,,"PICKENS COUNTY",50,119,0,1,8,12401,8859,12,21,10
"G0101090","1980","3","6","Alabama","01",,"Pike","109",,,,,,,,,"PIKE COUNTY",117,131,0,1,14,17992,9694,56,37,8
"G0101110","1980","3","6","Alabama","01",,"Randolph","111",,,,,,,,,"RANDOLPH COUNTY",64,70,2,0,1,15109,4799,8,12,10
"G0101130","1980","3","6","Alabama","01","1800","Russell","113",,,,,,,,,"RUSSELL COUNTY",143,292,0,6,14,28401,18364,48,66,22
"G0101150","1980","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,"ST. CLAIR COUNTY",180,71,3,2,27,36755,4057,49,41,20
"G0101170","1980","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,"SHELBY COUNTY",252,143,0,1,27,58730,6804,107,181,53
"G0101190","1980","3","6","Alabama","01",,"Sumter","119",,,,,,,,,"SUMTER COUNTY",26,185,0,0,1,5124,11526,5,22,19
"G0101210","1980","3","6","Alabama","01",,"Talladega","121",,,,,,,,,"TALLADEGA COUNTY",240,338,2,7,9,50682,22407,39,70,32
"G0101230","1980","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,"TALLAPOOSA COUNTY",118,82,0,2,33,27978,10369,13,29,52
"G0101250","1980","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,"TUSCALOOSA COUNTY",608,468,2,14,125,98727,36937,105,396,159
"G0101270","1980","3","6","Alabama","01","1000","Walker","127",,,,,,,,,"WALKER COUNTY",243,82,0,1,24,63304,4757,99,110,40
"G0101290","1980","3","6","Alabama","01",,"Washington","129",,,,,,,,,"WASHINGTON COUNTY",48,85,1,0,3,11232,4641,778,9,24
"G0101310","1980","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,"WILCOX COUNTY",27,331,0,0,3,4563,9820,3,7,1
"G0101330","1980","3","6","Alabama","01",,"Winston","133",,,,,,,,,"WINSTON COUNTY",119,0,1,0,2,21699,69,26,29,8
"G0200100","1980","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,"ALEUTIAN ISLANDS CENSUS AREA",136,6,10,70,75,4639,323,1924,510,75
"G0200200","1980","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,"ANCHORAGE BOROUGH",2790,144,216,269,1803,145860,9114,8737,3774,1724
"G0200500","1980","4","9","Alaska","02",,"Bethel","050",,,,,,,,,"BETHEL CENSUS AREA",25,0,19,6,11,1636,26,9228,24,24
"G0200600","1980","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,"BRISTOL BAY BOROUGH",7,1,2,1,19,653,46,358,4,3
"G0200700","1980","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,"DILLINGHAM CENSUS AREA",15,0,6,1,1,1051,1,3514,6,21
"G0200900","1980","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,"FAIRBANKS NORTH STAR BOROUGH",885,53,48,37,523,45221,2953,2939,779,545
"G0201000","1980","4","9","Alaska","02",,"Haines","100",,,,,,,,,"HAINES BOROUGH",13,0,0,0,0,1417,3,214,5,28
"G0201100","1980","4","9","Alaska","02",,"Juneau","110",,,,,,,,,"JUNEAU BOROUGH",208,2,65,29,79,16251,140,2125,475,154
"G0201220","1980","4","9","Alaska","02",,"Kenai Peninsula","122",,,,,,,,,"KENAI PENINSULA BOROUGH",240,1,19,20,78,22859,40,1719,180,126
