GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,DSN001,DSN002
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,"AUTAUGA COUNTY",8383,894
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,"BALDWIN COUNTY",21626,1666
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,"BARBOUR COUNTY",5873,1262
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,"BIBB COUNTY",3641,465
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,"BLOUNT COUNTY",10311,1157
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,"BULLOCK COUNTY",2083,704
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,"BUTLER COUNTY",5379,1019
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,"CALHOUN COUNTY",32995,3354
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,"CHAMBERS COUNTY",11131,1196
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,"CHEROKEE COUNTY",5299,681
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,"CHILTON COUNTY",8480,1051
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,"CHOCTAW COUNTY",3792,881
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,"CLARKE COUNTY",6234,1107
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,"CLAY COUNTY",3547,581
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,"CLEBURNE COUNTY",3482,452
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,"COFFEE COUNTY",10969,1198
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,"COLBERT COUNTY",16153,1472
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,"CONECUH COUNTY",3781,1043
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,"COOSA COUNTY",3012,438
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,"COVINGTON COUNTY",9750,1299
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,"CRENSHAW COUNTY",3721,942
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,"CULLMAN COUNTY",17663,1979
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,"DALE COUNTY",12840,1070
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,"DALLAS COUNTY",12276,2664
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,"DE KALB COUNTY",15440,1922
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,"ELMORE COUNTY",11003,1440
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,"ESCAMBIA COUNTY",9634,1254
"G0100550","1980","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,"ETOWAH COUNTY",29939,3061
"G0100570","1980","3","6","Alabama","01",,"Fayette","057",,,,,,,,,"FAYETTE COUNTY",5280,798
"G0100590","1980","3","6","Alabama","01",,"Franklin","059",,,,,,,,,"FRANKLIN COUNTY",7875,1240
"G0100610","1980","3","6","Alabama","01",,"Geneva","061",,,,,,,,,"GENEVA COUNTY",6584,1013
"G0100630","1980","3","6","Alabama","01",,"Greene","063",,,,,,,,,"GREENE COUNTY",2105,928
"G0100650","1980","3","6","Alabama","01",,"Hale","065",,,,,,,,,"HALE COUNTY",3322,837
"G0100670","1980","3","6","Alabama","01",,"Henry","067",,,,,,,,,"HENRY COUNTY",3999,834
"G0100690","1980","3","6","Alabama","01",,"Houston","069",,,,,,,,,"HOUSTON COUNTY",21550,2220
"G0100710","1980","3","6","Alabama","01",,"Jackson","071",,,,,,,,,"JACKSON COUNTY",14174,1538
"G0100730","1980","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,"JEFFERSON COUNTY",196270,16170
"G0100750","1980","3","6","Alabama","01",,"Lamar","075",,,,,,,,,"LAMAR COUNTY",4551,761
"G0100770","1980","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,"LAUDERDALE COUNTY",23069,2221
"G0100790","1980","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,"LAWRENCE COUNTY",7778,1314
"G0100810","1980","3","6","Alabama","01",,"Lee","081",,,,,,,,,"LEE COUNTY",22771,1691
"G0100830","1980","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,"LIMESTONE COUNTY",12321,1335
"G0100850","1980","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,"LOWNDES COUNTY",2162,937
"G0100870","1980","3","6","Alabama","01",,"Macon","087",,,,,,,,,"MACON COUNTY",5467,1239
"G0100890","1980","3","6","Alabama","01","3440","Madison","089",,,,,,,,,"MADISON COUNTY",56215,4053
"G0100910","1980","3","6","Alabama","01",,"Marengo","091",,,,,,,,,"MARENGO COUNTY",5535,1263
"G0100930","1980","3","6","Alabama","01",,"Marion","093",,,,,,,,,"MARION COUNTY",8747,1060
