GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010,ET3001,ET3002,ET3003,ET3004,ET3005,ET3006,ET3007,ET3008,ET3009,ET3010,ET3011,ET3012,ET3013,ET3014,ET3015,ET3016,ET3017,ET3018,ET3019,ET3020,ET3021,ET3022,ET3023,ET3024,ET3025,ET3026,ET3027,ET3028,ET3029,ET3030,ET3031,ET8001,ET8002,ET8003,ET8004,ET8005,ET8006,ET8007,ET8008,ET8009,ET8010,EUM001,EUM002,EUM003,EUM004,EUM005,EUM006,EUM007,EUM008,EUM009,EUM010,ESN001,ESN002
"G0100010","1990",,,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,"Autauga County",26997,6806,71,118,0,147,39,0,2,42,470,1085,1124,531,515,1706,1171,1152,564,572,572,636,576,539,469,423,1324,2675,2882,2611,2453,2042,1845,1608,530,775,1114,852,668,439,299,825,1268,4180,3526,199,159,990,447,136,96,42,131,0,0,0,0,0,0,0,21,11826,906
"G0100030","1990",,,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,"Baldwin County",83800,12592,621,216,29,765,48,9,5,195,1142,2851,2760,1443,1406,4242,2925,2948,1391,1471,1504,1450,1493,1403,1238,1049,3181,6924,7546,7301,6807,5783,5031,4912,1906,3294,5156,3865,2923,1775,1160,3124,4799,10580,12932,505,409,2482,1234,602,377,168,583,0,0,8,195,0,0,0,182,37044,13889
"G0100050","1990",,,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,"Barbour County",14054,11156,40,43,0,64,38,6,1,15,327,766,792,413,438,1290,867,864,398,408,456,445,387,397,331,301,954,1837,1830,1834,1782,1253,1081,1114,441,685,1139,950,807,496,334,886,1454,2427,2442,161,139,1049,469,107,84,242,188,0,109,0,0,0,0,0,34,9218,1487
"G0100070","1990",,,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,"Bibb County",13033,3468,25,11,0,19,10,0,0,10,200,504,467,234,269,804,546,578,276,348,268,299,272,289,265,232,725,1235,1232,1173,1092,1028,738,709,288,404,639,469,486,287,220,424,740,1932,1694,123,79,385,265,66,37,39,101,0,73,12,0,0,0,0,18,5745,659
"G0100090","1990",,,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,"Blount County",38275,519,129,33,6,122,2,4,0,158,488,1104,1056,530,531,1610,1118,1179,565,585,621,649,614,614,552,547,1616,2956,2986,2945,2805,2516,2197,1927,733,1088,1576,1336,1098,698,408,953,1835,4894,5245,167,188,671,489,133,69,43,119,0,20,0,0,0,0,0,19,14644,1146
"G0100110","1990",,,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,"Bullock County",3011,7948,8,10,0,25,38,0,0,2,179,398,371,210,195,535,389,358,192,194,180,180,166,155,119,146,430,829,857,809,613,535,420,414,146,249,457,479,404,258,175,389,632,795,795,66,77,721,258,24,30,639,30,0,0,4,0,0,0,0,0,3787,671
"G0100130","1990",,,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,"Butler County",13001,8783,24,19,0,48,15,0,0,2,271,681,687,380,372,1202,789,717,357,363,402,370,340,318,290,248,678,1387,1573,1499,1328,1068,936,943,380,633,977,949,802,537,415,676,1311,2041,2220,136,139,903,386,69,54,30,175,0,0,0,0,0,0,0,0,7935,810
"G0100150","1990",,,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,"Calhoun County",92154,21476,291,814,17,719,102,5,55,401,1247,3071,3061,1525,1506,4934,3400,3445,1597,1753,1679,1760,2248,2739,2531,2232,5217,8950,9475,8744,8079,6397,5458,5396,2040,3173,4845,3762,2861,1741,1168,3793,6172,12153,12958,662,599,3461,1885,728,572,262,551,4,87,50,1812,2062,30,10,39,42983,3770
"G0100170","1990",,,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,"Chambers County",23510,13187,36,12,4,65,34,5,1,22,444,1047,927,539,547,1550,1109,1072,567,591,616,623,590,590,512,517,1486,2568,2628,2533,2399,1990,1690,1781,660,1081,1747,1630,1399,910,533,1187,2102,3504,4060,249,237,1417,752,183,95,83,280,0,0,0,0,0,0,0,11,13786,1124
"G0100190","1990",,,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,"Cherokee County",18118,1291,51,24,2,36,0,0,0,21,192,473,467,208,232,759,593,573,285,290,323,297,295,324,260,266,762,1334,1480,1386,1412,1187,1141,1080,398,636,968,781,594,342,205,568,955,2241,2743,113,97,358,308,59,24,17,59,0,0,0,0,0,0,0,1,7466,1913
