GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL5001,FMS001,FMS002,FMS003,FMS004,FMS005,FMS006,FMS007,FMS008,FMS009,FMS010,FMS011,FMS012,FMS013,FMS014,FO3001,FO3002,FSV001,FSV002,FSV003,FSV004,FSV005,FSV006,FKN001,FKN002
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,"Autauga County",43671,34823,7428,186,194,12,44,374,398,45,8,6,1,121,31,9200,3153,100,81,0,7,0,72,12929,3074
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,"Baldwin County",140415,120868,14357,753,531,37,104,1299,1498,87,56,6,1,651,167,30741,9519,863,610,181,221,5,394,44016,11320
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Barbour County",29038,14788,13369,119,83,6,4,191,99,82,12,1,2,261,21,4743,2650,2464,186,61,0,0,7,7612,2797
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Bibb County",20826,15870,4584,46,17,2,0,97,96,40,3,0,0,61,10,4191,1390,900,106,18,0,0,215,5951,1470
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,"Blount County",51024,46999,598,212,70,6,14,407,1513,8,38,1,6,1040,112,12167,2640,120,320,0,0,0,170,16075,3190
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Bullock County",11714,2764,8486,37,21,1,6,77,194,78,7,0,1,37,5,1359,1372,1397,114,0,0,0,0,2969,1017
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Butler County",21399,12429,8671,44,34,0,4,74,63,61,1,1,0,7,10,3813,2059,31,212,0,0,0,22,6403,1995
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,"Calhoun County",112249,87598,20725,427,625,74,85,962,939,85,18,8,2,582,119,22677,8623,357,427,75,1159,4,406,32856,12451
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Chambers County",36583,22111,13872,49,68,0,13,190,160,71,0,0,0,30,19,6717,3480,173,303,0,0,0,42,10994,3528
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Cherokee County",23988,22164,1327,74,32,0,3,184,104,3,1,2,0,80,14,5785,1417,74,274,0,0,0,12,7944,1775
"G0100210","2000","3","6","Alabama","01","Chilton","021",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Chilton County",39593,33897,4131,111,65,2,16,219,433,69,0,7,4,583,56,8774,2565,148,135,19,0,0,49,12576,2711
"G0100230","2000","3","6","Alabama","01","Choctaw","023",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Choctaw County",15922,8724,6985,24,6,0,15,61,55,42,1,1,0,2,6,3195,1378,33,100,0,0,0,0,5491,872
"G0100250","2000","3","6","Alabama","01","Clarke","025",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Clarke County",27867,15519,11918,61,45,1,10,133,70,71,1,0,0,35,3,5419,2280,59,168,121,0,0,39,8587,1991
"G0100270","2000","3","6","Alabama","01","Clay","027",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Clay County",14254,11616,2219,44,12,1,3,106,160,19,1,2,2,63,6,3199,899,44,202,0,0,0,20,4452,1313
"G0100290","2000","3","6","Alabama","01","Cleburne","029",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Cleburne County",14123,13235,521,41,19,1,1,107,145,2,1,1,0,47,2,3330,798,26,74,0,0,0,13,4494,1096
"G0100310","2000","3","6","Alabama","01","Coffee","031",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Coffee County",43615,32971,7950,386,409,40,58,618,660,63,10,5,1,332,112,9471,3014,356,330,52,0,0,42,12440,4981
"G0100330","2000","3","6","Alabama","01","Colbert","033",,,,,,,,,,,,,"2650","9999","9999",,,,,,,"Colbert County",54984,44470,9096,195,127,11,30,437,355,41,10,4,1,157,50,12151,3887,75,353,34,64,0,66,17007,5454
"G0100350","2000","3","6","Alabama","01","Conecuh","035",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Conecuh County",14089,7760,6091,27,16,5,6,82,46,45,1,0,2,6,2,2654,1287,0,59,20,0,0,0,4690,1102
"G0100370","2000","3","6","Alabama","01","Coosa","037",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Coosa County",12202,7742,4147,39,5,0,9,102,60,25,0,0,1,67,5,2480,927,343,41,8,0,0,0,3970,712
"G0100390","2000","3","6","Alabama","01","Covington","039",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Covington County",37631,32247,4618,180,64,3,11,216,189,30,1,1,2,52,17,8121,2667,125,331,0,0,0,67,12155,3485
"G0100410","2000","3","6","Alabama","01","Crenshaw","041",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Crenshaw County",13665,10042,3369,51,15,1,11,89,46,19,0,0,0,16,6,2700,1191,14,145,1,0,0,0,4277,1300
"G0100430","2000","3","6","Alabama","01","Cullman","043",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Cullman County",77483,73940,726,277,136,26,22,668,1071,17,13,4,1,455,127,18162,4325,102,572,55,111,0,158,23962,6744
"G0100450","2000","3","6","Alabama","01","Dale","045",,,,,,,,,,,,,"2180","9999","9999",,,,,,,"Dale County",49129,35771,9902,285,518,67,65,879,770,100,12,11,5,569,175,10038,3599,56,369,1,0,1198,41,12140,6738
"G0100470","2000","3","6","Alabama","01","Dallas","047",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Dallas County",46365,16417,29201,47,157,4,26,223,79,131,3,3,1,41,32,6661,5833,0,157,30,201,0,151,11724,6117
"G0100490","2000","3","6","Alabama","01","DeKalb","049",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"DeKalb County",64452,58436,1064,478,105,13,11,767,1216,19,40,19,23,1987,274,14507,3933,65,535,0,0,0,264,19767,5346
"G0100510","2000","3","6","Alabama","01","Elmore","051",,,,,,,,,,,,,"5240","9999","9999",,,,,,,"Elmore County",65874,50376,13505,272,232,9,51,624,361,92,14,6,9,262,61,13217,4325,4687,577,69,0,0,8,18493,4244
"G0100530","2000","3","6","Alabama","01","Escambia","053",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Escambia County",38440,24575,11799,1153,93,10,25,406,179,38,4,1,0,129,28,7027,3061,1535,240,46,69,0,1115,11022,3275
"G0100550","2000","3","6","Alabama","01","Etowah","055",,,,,,,,,,,,,"2880","9999","9999",,,,,,,"Etowah County",103459,84919,15120,329,428,27,47,826,818,71,16,4,9,708,137,21683,7784,405,799,197,92,0,550,30960,10655
"G0100570","2000","3","6","Alabama","01","Fayette","057",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Fayette County",18495,15994,2199,35,28,0,1,86,81,8,3,0,2,49,9,4153,1189,53,162,0,76,0,49,5794,1699
"G0100590","2000","3","6","Alabama","01","Franklin","059",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Franklin County",31223,27268,1307,87,32,3,5,205,733,7,16,2,28,1436,94,7024,1930,75,267,2,0,0,58,9104,3155
"G0100610","2000","3","6","Alabama","01","Geneva","061",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Geneva County",25764,22181,2725,187,32,6,11,169,261,18,10,0,0,148,16,5692,1765,40,184,0,0,0,50,8440,2037
"G0100630","2000","3","6","Alabama","01","Greene","063",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Greene County",9974,1898,7964,12,8,0,7,27,6,49,0,0,0,3,0,1306,1345,22,56,0,0,0,0,2972,959
"G0100650","2000","3","6","Alabama","01","Hale","065",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Hale County",17185,6803,10074,30,25,4,11,81,41,57,0,2,0,39,18,2712,1894,107,158,25,0,0,0,5148,1267
"G0100670","2000","3","6","Alabama","01","Henry","067",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Henry County",16310,10647,5247,33,10,1,4,119,63,21,1,0,3,159,2,3388,1340,23,141,0,0,0,15,5279,1246
"G0100690","2000","3","6","Alabama","01","Houston","069",,,,,,,,,,,,,"2180","9999","9999",,,,,,,"Houston County",88787,64312,21703,318,548,13,55,716,574,137,11,3,1,292,104,17904,7209,383,556,97,0,0,112,24904,10930
"G0100710","2000","3","6","Alabama","01","Jackson","071",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Jackson County",53926,49200,2002,927,123,9,19,1036,352,17,19,1,4,176,41,12334,3496,105,216,180,0,0,78,16842,4773
"G0100730","2000","3","6","Alabama","01","Jefferson","073",,,,,,,,,,,,,"1000","9999","9999",,,,,,,"Jefferson County",662047,379707,259623,1314,5909,125,367,4718,4932,985,94,62,63,3540,608,114329,61621,3403,4260,708,4360,0,3382,175021,88244
"G0100750","2000","3","6","Alabama","01","Lamar","075",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Lamar County",15904,13695,1899,15,9,0,2,77,121,7,3,1,0,71,4,3707,1008,46,146,0,0,0,7,4970,1498
"G0100770","2000","3","6","Alabama","01","Lauderdale","077",,,,,,,,,,,,,"2650","9999","9999",,,,,,,"Lauderdale County",87966,77240,8624,219,305,13,47,624,503,39,4,3,4,269,72,19442,5721,214,643,48,621,0,181,26427,9661
"G0100790","2000","3","6","Alabama","01","Lawrence","079",,,,,,,,,,,,,"2030","9999","9999",,,,,,,"Lawrence County",34803,26899,4613,1839,33,3,3,1046,168,35,26,2,0,111,25,7882,2315,82,138,2,0,0,9,11241,2297
"G0100810","2000","3","6","Alabama","01","Lee","081",,,,,,,,,,,,,"0580","9999","9999",,,,,,,"Lee County",115092,84298,25954,251,1864,19,99,962,949,117,22,11,6,433,107,19117,8153,232,336,183,3523,0,193,28386,17316
"G0100830","2000","3","6","Alabama","01","Limestone","083",,,,,,,,,,,,,"3440","9999","9999",,,,,,,"Limestone County",65676,54142,8703,293,228,11,28,531,887,49,11,3,3,719,68,14216,4015,2186,336,1,97,0,23,19078,5610
"G0100850","2000","3","6","Alabama","01","Lowndes","085",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Lowndes County",13473,3464,9841,15,15,3,1,49,20,44,0,1,0,15,5,1983,1605,30,0,0,0,0,17,4088,821
"G0100870","2000","3","6","Alabama","01","Macon","087",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Macon County",24105,3331,20298,39,91,1,10,162,34,105,0,0,0,21,13,2623,2920,38,387,47,1796,0,17,6019,2931
"G0100890","2000","3","6","Alabama","01","Madison","089",,,,,,,,,,,,,"3440","9999","9999",,,,,,,"Madison County",276700,196496,62602,2067,5107,140,300,4762,2905,423,62,33,18,1329,456,55882,19460,885,915,159,4010,587,702,76830,33125
"G0100910","2000","3","6","Alabama","01","Marengo","091",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Marengo County",22539,10582,11581,19,37,2,8,91,75,74,0,4,1,49,16,4070,2210,20,151,0,0,3,19,6947,1820
"G0100930","2000","3","6","Alabama","01","Marion","093",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Marion County",31214,29387,1131,90,45,4,7,190,192,3,1,17,6,114,27,7208,1832,595,266,0,30,0,16,9875,2822
"G0100950","2000","3","6","Alabama","01","Marshall","095",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Marshall County",82231,75081,1194,408,196,20,35,641,1710,13,25,5,16,2628,259,18046,5481,218,561,20,30,0,143,24319,8228
"G0100970","2000","3","6","Alabama","01","Mobile","097",,,,,,,,,,,,,"5160","9999","9999",,,,,,,"Mobile County",399843,249763,132845,2636,5599,79,319,3715,2436,620,46,29,22,1281,453,70256,36489,1321,1900,782,2793,56,1216,103391,46788
"G0100990","2000","3","6","Alabama","01","Monroe","099",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Monroe County",24324,13962,9683,232,69,1,13,174,85,64,4,1,1,18,17,4698,2076,47,194,0,0,0,0,7543,1840
"G0101010","2000","3","6","Alabama","01","Montgomery","101",,,,,,,,,,,,,"5240","9999","9999",,,,,,,"Montgomery County",223510,107858,108146,530,2189,67,178,1877,1322,437,38,28,5,609,226,35232,21575,2605,1147,528,2957,3517,1289,55137,30931
"G0101030","2000","3","6","Alabama","01","Morgan","103",,,,,,,,,,,,,"2030","9999","9999",,,,,,,"Morgan County",111064,92584,12383,727,491,25,62,1147,1901,102,20,4,50,1329,239,23996,7449,721,636,0,0,0,350,31877,11725
"G0101050","2000","3","6","Alabama","01","Perry","105",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Perry County",11861,3642,8057,9,4,2,1,44,18,54,0,0,1,9,20,1662,1384,15,139,0,317,0,0,3205,1128
"G0101070","2000","3","6","Alabama","01","Pickens","107",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Pickens County",20949,11676,8940,24,22,5,17,118,44,59,1,1,0,29,13,3859,1931,3,198,1,0,0,9,6414,1672
"G0101090","2000","3","6","Alabama","01","Pike","109",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Pike County",29605,17790,10766,190,105,5,25,359,200,69,4,0,0,51,41,4948,2698,84,0,0,1069,0,45,8017,3916
"G0101110","2000","3","6","Alabama","01","Randolph","111",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Randolph County",22380,16940,4949,41,50,1,9,118,154,28,4,0,0,66,20,4581,1644,67,383,0,120,0,4,6843,1799
"G0101130","2000","3","6","Alabama","01","Russell","113",,,,,,,,,,,,,"1800","9999","9999",,,,,,,"Russell County",49756,27925,20217,164,173,34,43,456,284,102,18,8,3,252,77,8411,5013,295,314,0,0,0,78,12341,7400
"G0101150","2000","3","6","Alabama","01","St Clair","115",,,,,,,,,,,,,"1000","9999","9999",,,,,,,"St. Clair County",64742,57917,5253,233,108,17,16,512,371,10,9,4,0,251,41,14503,3934,1441,416,0,0,0,46,20215,3928
"G0101170","2000","3","6","Alabama","01","Shelby","117",,,,,,,,,,,,,"1000","9999","9999",,,,,,,"Shelby County",143293,126951,10570,441,1465,21,51,884,1720,36,32,12,5,962,143,32650,7967,168,348,126,891,0,142,44226,10405
"G0101190","2000","3","6","Alabama","01","Sumter","119",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Sumter County",14798,3813,10718,14,15,2,1,70,23,109,0,0,0,26,7,1965,1700,25,120,0,108,0,0,4126,1582
"G0101210","2000","3","6","Alabama","01","Talladega","121",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Talladega County",80321,53399,25206,172,159,20,35,518,431,133,12,3,0,181,52,15268,6643,2342,425,385,347,0,202,23405,7269
"G0101230","2000","3","6","Alabama","01","Tallapoosa","123",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Tallapoosa County",41475,30342,10488,107,74,3,5,214,132,30,2,1,0,65,12,8304,3503,112,681,26,0,0,40,12707,3949
"G0101250","2000","3","6","Alabama","01","Tuscaloosa","125",,,,,,,,,,,,,"8600","9999","9999",,,,,,,"Tuscaloosa County",164875,111367,48135,348,1506,19,107,1263,953,192,24,10,33,824,94,28808,12881,484,1172,791,5904,0,340,40946,23571
"G0101270","2000","3","6","Alabama","01","Walker","127",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Walker County",70713,64855,4323,197,140,13,18,560,308,41,4,1,1,202,50,15649,4820,266,561,18,70,0,106,22699,5665
"G0101290","2000","3","6","Alabama","01","Washington","129",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Washington County",18097,11673,4818,1282,10,5,1,148,86,49,7,0,0,8,10,3885,1157,0,69,0,0,0,15,5905,800
"G0101310","2000","3","6","Alabama","01","Wilcox","131",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Wilcox County",13183,3611,9423,19,8,2,0,23,15,56,0,9,0,15,2,1846,1532,163,90,0,43,0,5,3977,799
"G0101330","2000","3","6","Alabama","01","Winston","133",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Winston County",24843,24055,93,107,30,2,8,176,122,1,7,2,0,215,25,5810,1476,74,205,7,0,0,20,8091,2016
"G0200130","2000","4","9","Alaska","02","Aleutians East","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Aleutians East Borough",2697,521,42,999,712,8,3,73,125,3,6,3,0,196,6,232,112,0,0,0,0,0,1283,306,220
"G0200160","2000","4","9","Alaska","02","Aleutians West","016",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Aleutians West Census Area",5465,2059,165,1136,1338,33,4,157,129,0,9,6,1,396,32,550,186,0,0,0,0,64,2203,353,917
"G0200200","2000","4","9","Alaska","02","Anchorage","020",,,,,,,,,,,,,"0380","9999","9999",,,,,,,"Anchorage Municipality",260283,181982,14667,18326,14208,2335,583,13383,6027,532,615,225,88,5120,2192,45816,18315,1169,291,455,622,1980,2497,56953,37869
"G0200500","2000","4","9","Alaska","02","Bethel","050",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Bethel Census Area",16006,1958,59,13063,168,9,5,604,48,2,51,0,0,26,13,2229,946,169,0,25,14,0,33,2581,1645
"G0200600","2000","4","9","Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Bristol Bay Borough",1258,656,7,550,3,6,0,29,5,0,0,0,0,1,1,228,73,0,0,0,0,0,0,245,245
"G0200680","2000","4","9","Alaska","02","Denali","068",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Denali Borough",1893,1600,27,89,26,6,4,94,23,0,1,3,1,14,5,353,100,0,0,0,0,104,0,511,274
"G0200700","2000","4","9","Alaska","02","Dillingham","070",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Dillingham Census Area",4922,1031,18,3415,30,1,6,310,34,0,37,0,0,21,19,743,363,0,7,0,0,0,26,924,605
"G0200900","2000","4","9","Alaska","02","Fairbanks North Star","090",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Fairbanks North Star Borough",82840,62942,4719,5596,1682,237,265,3959,1497,124,118,38,8,1149,506,15416,5086,285,81,41,743,1543,387,16066,13711
"G0201000","2000","4","9","Alaska","02","Haines","100",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Haines Borough",2392,1960,3,271,17,2,6,100,14,0,4,0,0,4,11,504,150,0,0,0,0,0,5,694,297
