Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,pop,pwhite,pblack,phisp,pfb,pnative,popdensity,popingq,group_institutionalized,group_inst_other,gqprison,unemp_m,unemp_f,unemp_black,unemp_hisp,unemp_white,unemp_native,unemp,ppov,povt_m,povt_f,povt_black,povt_white,povt_hisp,povt_native,ppovchld,pcol,phs,pnohs,ppubassist,pfemhh,mhinc,mhmval,age18to34,age35to64,age65p,pown,year
Autauga County,"Autauga County, Alabama",1539582278,25775735,050,00,3,6,01001,01,001,54571,77.25,17.58,2.4,NA,0.4,91.80297,455,362,0,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.66,NA,NA,20.35,40.88,12,75.41,2010
Baldwin County,"Baldwin County, Alabama",4117521611,1133190229,050,00,3,6,01003,01,003,182265,83.5,9.31,4.38,NA,0.63,114.6476,2307,1744,0,1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.13,NA,NA,19.09,41.15,16.77,72.52,2010
Barbour County,"Barbour County, Alabama",2291818968,50864716,050,00,3,6,01005,01,005,27457,46.75,46.69,5.05,NA,0.22,31.0292,3193,3193,0,3044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.84,NA,NA,22.84,41.02,14.24,66.76,2010
Bibb County,"Bibb County, Alabama",1612480789,9289057,050,00,3,6,01007,01,007,22915,75.02,21.92,1.77,NA,0.28,36.80638,2224,2194,0,2077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.37,NA,NA,23.15,41.47,12.68,75.58,2010
Blount County,"Blount County, Alabama",1669961855,15157440,050,00,3,6,01009,01,009,57322,88.89,1.26,8.07,NA,0.5,88.90221,489,409,0,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66,NA,NA,20.05,40.62,14.72,80.56,2010
Bullock County,"Bullock County, Alabama",1613056905,6056528,050,00,3,6,01011,01,011,10914,21.92,69.97,7.12,NA,0.18,17.52395,1690,1642,0,1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.78,NA,NA,23.36,40.92,13.46,68.79,2010
Butler County,"Butler County, Alabama",2011976894,2726814,050,00,3,6,01013,01,013,20947,54.06,43.19,0.91,NA,0.28,26.96476,333,305,0,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.79,NA,NA,20.15,39.06,16.66,70.27,2010
Calhoun County,"Calhoun County, Alabama",1569189995,16624267,050,00,3,6,01015,01,015,118572,73.61,20.39,3.28,NA,0.4,195.7061,2919,1263,197,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,23.39,39.4,14.33,68.78,2010
Chambers County,"Chambers County, Alabama",1545009282,17048142,050,00,3,6,01017,01,017,34215,58.14,38.6,1.57,NA,0.17,57.35658,458,344,0,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.11,NA,NA,19.16,41.65,16.68,70.65,2010
Cherokee County,"Cherokee County, Alabama",1434075952,119858898,050,00,3,6,01019,01,019,25989,92.07,4.64,1.23,NA,0.47,46.93699,290,283,0,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.39,NA,NA,17.12,43.57,17.9,78.53,2010
