Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,pop,pwhite,pblack,phisp,pfb,pnative,popdensity,popingq,group_institutionalized,group_inst_other,gqprison,unemp_m,unemp_f,unemp_black,unemp_hisp,unemp_white,unemp_native,unemp,ppov,povt_m,povt_f,povt_black,povt_white,povt_hisp,povt_native,ppovchld,pcol,phs,pnohs,ppubassist,pfemhh,mhinc,mhmval,age18to34,age35to64,age65p,pown,year
Autauga County,"Autauga County, Alabama",1539582278,25775735,050,00,3,6,01001,01,001,54571,77.25,17.58,2.4,NA,0.4,91.80297,455,362,0,181,8.29,8.88,18.21,15.8,6.32,33.33,8.57,7.36,NA,NA,28.6,6.98,28,26.04,15.98,21.71,85.11,14.89,2.17,13.66,NA,NA,20.35,40.88,12,75.41,2010
Baldwin County,"Baldwin County, Alabama",4117521611,1133190229,050,00,3,6,01003,01,003,182265,83.5,9.31,4.38,NA,0.63,114.6476,2307,1744,0,1098,8.26,8.73,12.02,13.26,7.61,30.17,8.48,9.61,NA,NA,36.23,9.26,29.47,32.88,19.99,27.74,88.38,11.62,1.13,11.13,NA,NA,19.09,41.15,16.77,72.52,2010
Barbour County,"Barbour County, Alabama",2291818968,50864716,050,00,3,6,01005,01,005,27457,46.75,46.69,5.05,NA,0.22,31.0292,3193,3193,0,3044,15.05,11.96,19.75,11.39,8.38,NA,13.53,20.16,NA,NA,39.85,11.22,36.59,NA,41.8,14.52,73.59,26.41,1.42,19.84,NA,NA,22.84,41.02,14.24,66.76,2010
Bibb County,"Bibb County, Alabama",1612480789,9289057,050,00,3,6,01007,01,007,22915,75.02,21.92,1.77,NA,0.28,36.80638,2224,2194,0,2077,8.31,13.27,10.94,2.91,10.16,62.16,10.46,13.08,NA,NA,32.73,11.56,41.22,80.56,26.96,9,76.14,23.86,6.65,14.37,NA,NA,23.15,41.47,12.68,75.58,2010
Blount County,"Blount County, Alabama",1669961855,15157440,050,00,3,6,01009,01,009,57322,88.89,1.26,8.07,NA,0.5,88.90221,489,409,0,129,10.76,9.09,43.36,12.22,9.38,19.55,10.02,10.94,NA,NA,56.68,13.48,23.85,5.22,20.72,12.38,75.66,24.34,1.31,9.66,NA,NA,20.05,40.62,14.72,80.56,2010
Bullock County,"Bullock County, Alabama",1613056905,6056528,050,00,3,6,01011,01,011,10914,21.92,69.97,7.12,NA,0.18,17.52395,1690,1642,0,1528,10.25,19.75,15.79,24.19,5.95,0,14.3,18.39,NA,NA,26.41,4.24,39.64,0,41.75,11.88,70.31,29.69,3.1,26.78,NA,NA,23.36,40.92,13.46,68.79,2010
Butler County,"Butler County, Alabama",2011976894,2726814,050,00,3,6,01013,01,013,20947,54.06,43.19,0.91,NA,0.28,26.96476,333,305,0,38,16.55,11.17,19.12,20.9,10.12,0,13.77,21.64,NA,NA,37.53,16.78,5.42,69.44,36.05,12.87,76.27,23.73,1.88,19.79,NA,NA,20.15,39.06,16.66,70.27,2010
Calhoun County,"Calhoun County, Alabama",1569189995,16624267,050,00,3,6,01015,01,015,118572,73.61,20.39,3.28,NA,0.4,195.7061,2919,1263,197,605,12.28,14.35,22.4,15.8,10.61,17.76,13.26,16.12,NA,NA,39.47,16.26,25.9,23.58,31.42,16.02,78.8,21.2,1.82,15.2,NA,NA,23.39,39.4,14.33,68.78,2010
Chambers County,"Chambers County, Alabama",1545009282,17048142,050,00,3,6,01017,01,017,34215,58.14,38.6,1.57,NA,0.17,57.35658,458,344,0,137,16.72,15.35,24.03,24.36,11.07,NA,16.05,20.22,NA,NA,39.61,12.01,37.79,0,39.61,11.02,73.78,26.22,1.14,19.11,NA,NA,19.16,41.65,16.68,70.65,2010
Cherokee County,"Cherokee County, Alabama",1434075952,119858898,050,00,3,6,01019,01,019,25989,92.07,4.64,1.23,NA,0.47,46.93699,290,283,0,80,8.02,13.46,4.38,2.82,10.88,18.07,10.46,15.88,NA,NA,29.91,18.85,15.02,29.45,32.99,13.13,77.08,22.92,2.2,10.39,NA,NA,17.12,43.57,17.9,78.53,2010
Chilton County,"Chilton County, Alabama",1794483586,20586383,050,00,3,6,01021,01,021,43643,81.1,9.56,7.84,NA,0.31,62.99018,393,312,0,171,9.81,13.28,18.07,11.74,10.51,19.73,11.33,14.71,NA,NA,29.09,15.08,43.85,6.25,26.27,12.47,75.74,24.26,1.78,12.04,NA,NA,21.45,39.87,13.57,76.57,2010
Choctaw County,"Choctaw County, Alabama",2365954748,19059251,050,00,3,6,01023,01,023,13859,55.56,43.22,0.53,NA,0.13,15.17131,129,129,0,36,12.06,19.7,25.58,0,9.55,NA,15.63,13.73,NA,NA,27.73,13.56,19.28,NA,28.42,11.94,74.13,25.87,2.11,15.75,NA,NA,17.27,41.89,18.18,82.95,2010
Clarke County,"Clarke County, Alabama",3207609488,36542656,050,00,3,6,01025,01,025,25833,53.97,43.67,1.05,NA,0.37,20.85888,280,255,0,100,18.83,14.38,21.26,86.36,12.94,0,16.7,21.46,NA,NA,40.53,14.23,43.17,78.69,36.51,12.7,78.41,21.59,1.27,17.45,NA,NA,18.81,40.3,16.16,77.35,2010
Clay County,"Clay County, Alabama",1564252280,5284628,050,00,3,6,01027,01,027,13932,80.29,14.7,2.86,NA,0.39,23.06771,255,255,0,76,11.38,12.03,17.29,6.13,10.04,NA,11.69,17.79,NA,NA,35.79,16.02,40.52,32,23.61,8.85,74.17,25.83,0.75,12.75,NA,NA,18.44,41.42,17.58,75.24,2010
Cleburne County,"Cleburne County, Alabama",1450652767,2365681,050,00,3,6,01029,01,029,14972,93.21,3.3,2.05,NA,0.33,26.73093,178,168,0,91,11.84,12.76,21.21,25.81,11.85,NA,12.27,12.6,NA,NA,11.03,17.45,43.41,0,29.62,9.48,74.23,25.77,1.23,10.3,NA,NA,18.69,41.82,15.77,77.44,2010
Coffee County,"Coffee County, Alabama",1758528786,3944730,050,00,3,6,01031,01,031,49948,72.34,16.53,6.37,NA,1.21,73.56418,600,566,0,241,6.42,8.87,14.81,7.15,6.21,2.69,7.58,13.74,NA,NA,40.51,11.2,25.35,10.68,26.84,22.58,81.77,18.23,0.76,12.86,NA,NA,22.43,38.94,14.44,67.48,2010
Colbert County,"Colbert County, Alabama",1534877333,76430813,050,00,3,6,01033,01,033,54428,79.62,15.99,2.01,NA,0.48,91.84309,474,359,0,83,8.06,9.48,14.62,9.95,7.57,6.56,8.71,12.86,NA,NA,26.63,13.01,54.62,13,25.69,18.04,83.42,16.58,0.83,13.72,NA,NA,19.32,41.18,17.39,72.77,2010
Conecuh County,"Conecuh County, Alabama",2201894769,6644940,050,00,3,6,01035,01,035,13228,51.13,46.28,1.22,NA,0.33,15.55949,45,45,0,45,28.91,17.9,34.88,35.71,14,0,23.64,25.41,NA,NA,46.15,16.84,78.95,0,42.4,9.73,75.77,24.23,1.62,19.15,NA,NA,17.77,41.38,17.86,75.34,2010
Coosa County,"Coosa County, Alabama",1685891075,39946646,050,00,3,6,01037,01,037,11539,65.9,30.82,1.99,NA,0.35,17.72705,124,124,0,80,13.16,14.51,20.9,18.24,11.03,0,13.78,15.14,NA,NA,28.86,16.26,25.33,0,31.07,9.65,75.79,24.21,1.49,14.08,NA,NA,17.34,45.05,17.07,80.23,2010
Covington County,"Covington County, Alabama",2668869505,34526309,050,00,3,6,01039,01,039,37765,84.08,12.41,1.28,NA,0.52,36.64881,575,475,0,172,8.76,11.74,13.31,7.96,9.87,0,10.18,17.97,NA,NA,38.34,18.28,13.09,3.45,30.29,13.76,77.35,22.65,1.68,13.06,NA,NA,18.67,40.39,18.37,73.92,2010
Crenshaw County,"Crenshaw County, Alabama",1576888006,5376392,050,00,3,6,01041,01,041,13906,72.06,23.31,1.47,NA,0.4,22.84016,132,132,0,0,6.91,10.5,12.34,7.97,7.76,0,8.56,13.56,NA,NA,33.27,12.91,31.46,48.65,25.32,11.03,76.31,23.69,2.23,15.59,NA,NA,18.74,41.58,15.89,73.27,2010
Cullman County,"Cullman County, Alabama",1903228333,52266921,050,00,3,6,01043,01,043,80406,92.74,1.02,4.3,NA,0.49,109.4197,1056,696,0,326,9.43,8.96,35.43,14.38,8.87,0,9.22,14.28,NA,NA,44.73,16.68,45.14,34.83,25.94,14.17,78.8,21.2,1.46,10.42,NA,NA,20.52,40.37,15.93,74.99,2010
Dale County,"Dale County, Alabama",1453371157,4016457,050,00,3,6,01045,01,045,50251,71.05,19,5.61,NA,0.67,89.55007,917,344,0,82,8.45,9.26,11.89,19.96,7.24,4.35,8.84,12.67,NA,NA,28.19,11.03,33.86,33.96,22.25,17.54,84.2,15.8,1.35,14.64,NA,NA,23.84,37.88,13.45,61.54,2010
Dallas County,"Dallas County, Alabama",2534807386,39134826,050,00,3,6,01047,01,047,43820,28.93,69.18,0.71,NA,0.18,44.77393,786,282,0,56,18.46,20.25,24.18,28,10.93,39.47,19.35,29.97,NA,NA,46.84,10.88,64.45,66.18,56.19,13.34,75.33,24.67,2.51,27.14,NA,NA,20.55,38.92,14.07,62.43,2010
