Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T102_001,SE_T102_002,SE_T102_003,SE_T103_001,SE_T103_002,SE_T103_003,SE_T104_001,SE_T104_002,SE_T104_003,SE_T107_001,SE_T107_002,SE_T107_003
"Autauga County","Autauga County, Alabama","G0100010","0100010","11","01001","01","001",24714,2171,22543,7204,3156,4048,97,10,87,389,9,380
"Baldwin County","Baldwin County, Alabama","G0100030","0100030","11","01003","01","003",65279,7561,57718,11859,4957,6902,428,92,336,655,196,459
"Barbour County","Barbour County, Alabama","G0100050","0100050","11","01005","01","005",13522,2046,11476,10924,5493,5431,0,0,0,402,120,282
"Bibb County","Bibb County, Alabama","G0100070","0100070","11","01007","01","007",11912,1573,10339,3600,1717,1883,0,0,0,220,154,66
"Blount County","Blount County, Alabama","G0100090","0100090","11","01009","01","009",35468,6270,29198,646,255,391,98,0,98,245,74,171
"Bullock County","Bullock County, Alabama","G0100110","0100110","11","01011","01","011",0,0,0,7129,3301,3828,0,0,0,145,77,68
"Butler County","Butler County, Alabama","G0100130","0100130","11","01013","01","013",13091,1822,11269,8304,3980,4324,0,0,0,266,148,118
"Calhoun County","Calhoun County, Alabama","G0100150","0100150","11","01015","01","015",91742,11145,80597,18950,6953,11997,213,62,151,1073,259,814
"Chambers County","Chambers County, Alabama","G0100170","0100170","11","01017","01","017",25054,2529,22525,13804,4402,9402,0,0,0,211,65,146
"Cherokee County","Cherokee County, Alabama","G0100190","0100190","11","01019","01","019",17081,3229,13852,1545,240,1305,0,0,0,110,11,99
"Chilton County","Chilton County, Alabama","G0100210","0100210","11","01021","01","021",26784,4464,22320,3562,1528,2034,0,0,0,182,95,87
"Choctaw County","Choctaw County, Alabama","G0100230","0100230","11","01023","01","023",9480,1862,7618,7298,3417,3881,0,0,0,193,86,107
"Clarke County","Clarke County, Alabama","G0100250","0100250","11","01025","01","025",15557,1872,13685,11670,5308,6362,87,23,64,304,148,156
"Clay County","Clay County, Alabama","G0100270","0100270","11","01027","01","027",11408,2020,9388,0,0,0,0,0,0,121,7,114
"Cleburne County","Cleburne County, Alabama","G0100290","0100290","11","01029","01","029",11873,1874,9999,647,219,428,0,0,0,0,0,0
"Coffee County","Coffee County, Alabama","G0100310","0100310","11","01031","01","031",31445,3781,27664,6473,2435,4038,120,5,115,391,78,313
"Colbert County","Colbert County, Alabama","G0100330","0100330","11","01033","01","033",44971,5400,39571,9075,2462,6613,63,0,63,183,60,123
"Conecuh County","Conecuh County, Alabama","G0100350","0100350","11","01035","01","035",9268,1590,7678,0,0,0,0,0,0,188,25,163
"Coosa County","Coosa County, Alabama","G0100370","0100370","11","01037","01","037",7396,1537,5859,0,0,0,0,0,0,43,15,28
"Covington County","Covington County, Alabama","G0100390","0100390","11","01039","01","039",31608,5510,26098,4756,1751,3005,0,0,0,301,121,180
"Crenshaw County","Crenshaw County, Alabama","G0100410","0100410","11","01041","01","041",10284,2306,7978,3650,1842,1808,0,0,0,34,15,19
"Cullman County","Cullman County, Alabama","G0100430","0100430","11","01043","01","043",60386,10569,49817,548,86,462,103,29,74,308,40,268
"Dale County","Dale County, Alabama","G0100450","0100450","11","01045","01","045",36109,4311,31798,6972,2851,4121,333,18,315,821,92,729
"Dallas County","Dallas County, Alabama","G0100470","0100470","11","01047","01","047",24104,2183,21921,28957,14960,13997,0,0,0,587,233,354
"De Kalb County","De Kalb County, Alabama","G0100490","0100490","11","01049","01","049",52155,9991,42164,962,380,582,120,0,120,363,105,258
"Elmore County","Elmore County, Alabama","G0100510","0100510","11","01051","01","051",32679,3389,29290,8846,4166,4680,0,0,0,416,184,232
"Escambia County","Escambia County, Alabama","G0100530","0100530","11","01053","01","053",25409,3372,22037,10421,4224,6197,955,145,810,236,106,130
"Etowah County","Etowah County, Alabama","G0100550","0100550","11","01055","01","055",87594,11908,75686,13588,4242,9346,486,227,259,422,147,275
"Fayette County","Fayette County, Alabama","G0100570","0100570","11","01057","01","057",16279,2585,13694,2347,756,1591,0,0,0,99,30,69
"Franklin County","Franklin County, Alabama","G0100590","0100590","11","01059","01","059",26733,4401,22332,1274,394,880,30,7,23,112,51,61
"Geneva County","Geneva County, Alabama","G0100610","0100610","11","01061","01","061",20897,3477,17420,3072,1506,1566,123,46,77,284,100,184
"Greene County","Greene County, Alabama","G0100630","0100630","11","01063","01","063",2368,216,2152,8553,4772,3781,0,0,0,201,50,151
"Hale County","Hale County, Alabama","G0100650","0100650","11","01065","01","065",5590,587,5003,9729,5467,4262,0,0,0,346,148,198
"Henry County","Henry County, Alabama","G0100670","0100670","11","01067","01","067",9480,1148,8332,5761,2319,3442,0,0,0,231,121,110
"Houston County","Houston County, Alabama","G0100690","0100690","11","01069","01","069",57184,5683,51501,16384,6671,9713,242,60,182,576,222,354
"Jackson County","Jackson County, Alabama","G0100710","0100710","11","01071","01","071",48735,7482,41253,2065,562,1503,270,0,270,263,94,169
"Jefferson County","Jefferson County, Alabama","G0100730","0100730","11","01073","01","073",438015,32912,405103,221497,68091,153406,730,123,607,4782,1310,3472
