GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNOA,ZIPA,AREANAME,DG6001,DG6002,DG6003,DG6004,DIE001,DI8001,DI8002,DJB001,DJB002,DJB003,DJB004,DJB005,DJB006,DJB007,DJB008
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,"AUTAUGA",24177,7569,238,275,16524,26770,5337,22839,1123,995,1813,3889,263,269,916
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,"BALDWIN",55231,21987,319,1019,14614,65110,12616,51143,3426,3147,7394,9546,527,458,2085
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,"BARBOUR",20062,4455,77,162,10058,16974,7559,13414,984,781,1795,5400,356,368,1435
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,"BIBB",14460,1194,4,65,12299,12224,3296,9671,598,529,1426,2510,125,101,560
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,"BLOUNT",32526,3808,42,83,12657,29717,6527,24004,1642,1430,2641,4302,305,311,1609
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,"BULLOCK",9720,797,23,56,8204,6820,3745,5074,404,390,952,2728,165,123,729
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,"BUTLER",19733,1850,25,72,10206,15605,5818,11446,791,1129,2239,4356,222,207,1033
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,"CALHOUN",87892,29125,1120,1624,13665,93387,18231,76010,4926,4024,8427,13972,673,801,2785
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,"CHAMBERS",32780,6265,32,114,12304,31938,6931,24395,1883,1622,4038,4745,297,419,1470
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,"CHEROKEE",14720,3953,30,57,12004,15194,3474,12086,846,768,1494,2299,172,211,792
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,"CHILTON",27659,2804,39,110,11879,24356,6031,19516,1152,1097,2591,4247,218,306,1260
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,"CHOCTAW",13712,2977,27,123,10134,11508,5285,9363,557,477,1111,3754,237,298,996
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,"CLARKE",25316,2186,39,161,12091,20128,7210,16076,1059,812,2181,5493,218,251,1248
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,"CLAY",12548,1103,15,37,10984,10801,2874,8281,581,593,1346,1911,116,124,723
"G0100290","1980","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,"CLEBURNE",9606,2919,33,37,12782,10457,2093,8352,543,523,1039,1373,104,107,509
"G0100310","1980","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,"COFFEE",29040,8489,452,552,14148,32016,6246,26589,1592,1189,2646,4093,271,363,1519
"G0100330","1980","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,"COLBERT",43890,10326,84,219,15445,46296,7869,37108,2488,2207,4493,5883,360,308,1318
"G0100350","1980","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,"CONECUH",14546,1247,47,44,9211,11140,4642,8522,539,538,1541,3283,161,257,941
"G0100370","1980","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,"COOSA",10470,839,32,36,10968,8494,2783,6427,560,473,1034,2079,112,86,506
"G0100390","1980","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,"COVINGTON",31565,4949,101,235,11209,29231,7271,21755,1806,1743,3927,4560,445,434,1832
"G0100410","1980","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,"CRENSHAW",13085,948,15,62,8906,9792,4160,7347,589,538,1318,2776,217,232,935
"G0100430","1980","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,"CULLMAN",52385,8773,176,308,12117,50448,10684,40852,2546,2182,4868,7033,450,619,2582
"G0100450","1980","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,"DALE",25647,19374,1304,1496,12627,36797,7265,31882,1570,1019,2326,5575,184,312,1194
"G0100470","1980","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,"DALLAS",46835,6537,140,469,10565,35990,17165,28460,1778,1765,3987,13634,488,575,2468
"G0100490","1980","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,"DE KALB",43098,10351,66,143,11475,42943,10373,34425,2229,1896,4393,6686,439,657,2591
"G0100510","1980","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,"ELMORE",35122,7726,285,257,14985,34060,7567,27500,1925,1471,3164,5468,329,304,1466
"G0100530","1980","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,"ESCAMBIA",31007,7142,75,216,11580,29090,7741,23552,1484,1219,2835,5493,210,396,1642
