Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_002,SE_T002_001,SE_T002_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T009_005,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004,PCT_SE_T009_005,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T013_009,SE_T013_010,SE_T013_011,SE_T013_012,SE_T013_013,PCT_SE_T013_002,PCT_SE_T013_003,PCT_SE_T013_004,PCT_SE_T013_005,PCT_SE_T013_006,PCT_SE_T013_007,PCT_SE_T013_008,PCT_SE_T013_009,PCT_SE_T013_010,PCT_SE_T013_011,PCT_SE_T013_012,PCT_SE_T013_013,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T016_006,SE_T016_007,SE_T016_008,SE_T016_009,PCT_SE_T016_002,PCT_SE_T016_003,PCT_SE_T016_004,PCT_SE_T016_005,PCT_SE_T016_006,PCT_SE_T016_007,PCT_SE_T016_008,PCT_SE_T016_009,SE_T021_001,SE_T021_002,SE_T021_003,PCT_SE_T021_002,PCT_SE_T021_003,SE_T117_001,SE_T117_002,SE_T117_003,SE_T117_004,SE_T117_005,SE_T117_006,PCT_SE_T117_002,PCT_SE_T117_003,PCT_SE_T117_004,PCT_SE_T117_005,PCT_SE_T117_006,SE_T029_001,SE_T029_002,SE_T029_003,PCT_SE_T029_002,PCT_SE_T029_003,SE_T030_001,SE_T030_002,SE_T030_003,PCT_SE_T030_002,PCT_SE_T030_003,SE_T031_001,SE_T031_002,SE_T031_003,PCT_SE_T031_002,PCT_SE_T031_003,SE_T032_001,SE_T032_002,SE_T032_003,PCT_SE_T032_002,PCT_SE_T032_003,SE_T033_001,SE_T033_002,SE_T033_003,PCT_SE_T033_002,PCT_SE_T033_003,SE_T034_001,SE_T034_002,SE_T034_003,PCT_SE_T034_002,PCT_SE_T034_003,SE_T037_001,SE_T037_002,SE_T037_003,PCT_SE_T037_002,PCT_SE_T037_003,SE_T043_001,SE_T062_001,SE_T062_002,SE_T062_003,PCT_SE_T062_002,PCT_SE_T062_003,SE_T073_001,SE_T073_002,SE_T073_003,PCT_SE_T073_002,PCT_SE_T073_003,SE_T094_001,SE_T094_002,SE_T094_003,PCT_SE_T094_002,PCT_SE_T094_003,SE_T099_001,SE_T099_002,SE_T099_003,SE_T099_004,SE_T099_005,SE_T099_006,SE_T099_007,SE_T099_008,SE_T099_009,SE_T099_010,SE_T099_011,SE_T099_012,SE_T099_013,PCT_SE_T099_002,PCT_SE_T099_003,PCT_SE_T099_004,PCT_SE_T099_005,PCT_SE_T099_006,PCT_SE_T099_007,PCT_SE_T099_008,PCT_SE_T099_009,PCT_SE_T099_010,PCT_SE_T099_011,PCT_SE_T099_012,PCT_SE_T099_013,SE_T100_001,SE_T100_002,SE_T100_003,PCT_SE_T100_002,PCT_SE_T100_003,SE_T101_001,SE_T101_002,SE_T101_003,PCT_SE_T101_002,PCT_SE_T101_003,SE_T102_001,SE_T102_002,SE_T102_003,PCT_SE_T102_002,PCT_SE_T102_003,SE_T105_001,SE_T105_002,SE_T105_003,PCT_SE_T105_002,PCT_SE_T105_003,SE_T110_001,SE_T110_002,SE_T110_003,SE_T110_004,SE_T110_005,PCT_SE_T110_002,PCT_SE_T110_003,PCT_SE_T110_004,PCT_SE_T110_005,STF1_P028_001,STF1_P028_002,STF1_P028_003,STF1_P028_004,STF1_P028_005,STF1_P028_006,STF1_P028_007,STF1_P028_008,STF1_P028_009,STF1_P028_010,STF1_P028_011,STF1_P028_012,STF1_P028_013,PCT_STF1_P028_002,PCT_STF1_P028_003,PCT_STF1_P028_004,PCT_STF1_P028_005,PCT_STF1_P028_006,PCT_STF1_P028_007,PCT_STF1_P028_008,PCT_STF1_P028_009,PCT_STF1_P028_010,PCT_STF1_P028_011,PCT_STF1_P028_012,PCT_STF1_P028_013,STF1_H023B_001,STF3_P095_001,STF3_P095_002,STF3_P095_003,PCT_STF3_P095_002,PCT_STF3_P095_003
"Autauga County","Autauga County, Alabama","050","00","3","6","01001","01","001",34222,34222,57.4182299383416,596.012800059305,34222,10098,8888,11864,3372,29.51,25.97,34.67,9.85,34222,33992,26997,6806,71,118,0,230,147,39,0,2,42,99.33,78.89,19.89,0.21,0.34,0,0.67,0.43,0.11,0,0.01,0.12,11826,9501,7706,1795,358,1437,2325,961,1364,80.34,65.16,15.18,3.03,12.15,19.66,8.13,11.53,34222,173,34049,0.51,99.49,20861,6252,14609,7938,3026,962,29.97,70.03,38.05,14.51,4.61,16310,15432,878,94.62,5.38,8745,8351,394,95.49,4.51,7565,7081,484,93.6,6.4,13620,13088,532,96.09,3.91,2624,2278,346,86.81,13.19,24,24,0,100,0,87,65,22,74.71,25.29,28337,11826,940,10886,7.95,92.05,11826,9422,2404,79.67,20.33,10009,7853,2156,78.46,21.54,34009,28685,24456,4073,29,89,38,5324,2587,2734,3,0,0,84.35,71.91,11.98,0.09,0.26,0.11,15.65,7.61,8.04,0.01,0,0,27043,24456,2587,90.43,9.57,6807,4073,2734,59.84,40.16,32,29,3,90.62,9.38,228,182,46,79.82,20.18,34222,33881,341,216,125,99,1,0.63,0.37,194,173,42,131,0,0,0,21,0,0,0,0,21,89.18,21.65,67.53,0,0,0,10.82,0,0,0,0,10.82,59200,11826,940,10886,7.95,92.05
"Baldwin County","Baldwin County, Alabama","050","00","3","6","01003","01","003",98280,98280,61.5581706672961,1596.53867122164,98280,25533,22834,35034,14879,25.98,23.23,35.65,15.14,98280,97258,83800,12592,621,216,29,1022,765,48,9,5,195,98.96,85.27,12.81,0.63,0.22,0.03,1.04,0.78,0.05,0.01,0.01,0.2,37044,28142,23512,4630,914,3716,8902,3726,5176,75.97,63.47,12.5,2.47,10.03,24.03,10.06,13.97,98280,1130,97150,1.15,98.85,64623,17309,47314,26770,10870,3791,26.78,73.22,41.42,16.82,5.87,45480,43005,2475,94.56,5.44,24838,23796,1042,95.8,4.2,20642,19209,1433,93.06,6.94,39782,38003,1779,95.53,4.47,5143,4467,676,86.86,13.14,440,426,14,96.82,3.18,371,350,21,94.34,5.66,25712,37126,1795,35331,4.83,95.17,37044,29025,8019,78.35,21.65,25350,20064,5286,79.15,20.85,97227,83280,75053,7270,743,118,96,13947,8690,5072,100,51,34,85.66,77.19,7.48,0.76,0.12,0.1,14.34,8.94,5.22,0.1,0.05,0.03,83743,75053,8690,89.62,10.38,12342,7270,5072,58.9,41.1,843,743,100,88.14,11.86,854,676,178,79.16,20.84,98280,97305,975,663,312,99.01,0.99,0.67,0.32,1136,759,168,583,0,0,8,377,195,0,0,0,182,66.81,14.79,51.32,0,0,0.7,33.19,17.17,0,0,0,16.02,64200,37126,1795,35331,4.83,95.17
"Barbour County","Barbour County, Alabama","050","00","3","6","01005","01","005",25417,25417,28.7198539508833,884.997536668124,25417,7464,6037,8190,3726,29.37,23.75,32.22,14.66,25417,25293,14054,11156,40,43,0,124,64,38,6,1,15,99.51,55.29,43.89,0.16,0.17,0,0.49,0.25,0.15,0.02,0,0.06,9218,6687,4869,1818,300,1518,2531,993,1538,72.54,52.82,19.72,3.25,16.47,27.46,10.77,16.68,25417,542,24875,2.13,97.87,15702,6965,8737,4479,1857,627,44.36,55.64,28.53,11.83,3.99,11151,10313,838,92.48,7.52,5880,5499,381,93.52,6.48,5271,4814,457,91.33,8.67,6834,6532,302,95.58,4.42,4267,3735,532,87.53,12.47,26,22,4,84.62,15.38,21,16,5,76.19,23.81,19389,9234,1333,7901,14.44,85.56,9218,6490,2728,70.41,29.59,7219,4866,2353,67.41,32.59,24785,18541,12072,6360,54,55,0,6244,1737,4507,0,0,0,74.81,48.71,25.66,0.22,0.22,0,25.19,7.01,18.18,0,0,0,13809,12072,1737,87.42,12.58,10867,6360,4507,58.53,41.47,54,54,0,100,0,59,40,19,67.8,32.2,25417,25335,82,71,11,99.68,0.32,0.28,0.04,573,539,242,188,0,109,0,34,0,0,0,0,34,94.07,42.23,32.81,0,19.02,0,5.93,0,0,0,0,5.93,41400,9234,1333,7901,14.44,85.56
"Bibb County","Bibb County, Alabama","050","00","3","6","01007","01","007",16576,16576,26.633952610375,622.363501298076,16576,4793,4250,5432,2101,28.92,25.64,32.77,12.67,16576,16537,13033,3468,25,11,0,39,19,10,0,0,10,99.76,78.63,20.92,0.15,0.07,0,0.24,0.11,0.06,0,0,0.06,5745,4478,3626,852,202,650,1267,490,777,77.95,63.12,14.83,3.52,11.31,22.05,8.53,13.52,16576,241,16335,1.45,98.55,10065,4850,5215,1808,476,223,48.19,51.81,17.96,4.73,2.22,7189,6725,464,93.55,6.45,4194,4014,180,95.71,4.29,2995,2711,284,90.52,9.48,5953,5620,333,94.41,5.59,1236,1105,131,89.4,10.6,0,0,0,,,22,22,0,100,0,19775,5776,562,5214,9.73,90.27,5745,4510,1235,78.5,21.5,4714,3422,1292,72.59,27.41,16304,12850,11038,1810,2,0,0,3454,1865,1587,0,2,0,78.82,67.7,11.1,0.01,0,0,21.18,11.44,9.73,0,0.01,0,12903,11038,1865,85.55,14.45,3397,1810,1587,53.28,46.72,2,2,0,100,0,42,33,9,78.57,21.43,16576,16558,18,9,9,99.89,0.11,0.05,0.05,243,225,39,101,0,73,12,18,0,0,0,0,18,92.59,16.05,41.56,0,30.04,4.94,7.41,0,0,0,0,7.41,39500,5776,562,5214,9.73,90.27
"Blount County","Blount County, Alabama","050","00","3","6","01009","01","009",39248,39248,60.786126438823,645.673647908793,39248,10036,9885,14211,5116,25.57,25.19,36.21,13.04,39248,38962,38275,519,129,33,6,286,122,2,4,0,158,99.27,97.52,1.32,0.33,0.08,0.02,0.73,0.31,0.01,0.01,0,0.4,14644,11654,10139,1515,355,1160,2990,1086,1904,79.58,69.24,10.35,2.42,7.92,20.42,7.42,13,39248,196,39052,0.5,99.5,25241,9960,15281,6518,1773,621,39.46,60.54,25.82,7.02,2.46,18502,17568,934,94.95,5.05,10872,10434,438,95.97,4.03,7630,7134,496,93.5,6.5,18073,17180,893,95.06,4.94,306,289,17,94.44,5.56,38,35,3,92.11,7.89,116,95,21,81.9,18.1,22382,14616,1281,13335,8.76,91.24,14644,11972,2672,81.75,18.25,9943,8136,1807,81.83,18.17,38924,32986,32274,438,104,48,122,5938,5656,146,59,0,77,84.74,82.92,1.13,0.27,0.12,0.31,15.26,14.53,0.38,0.15,0,0.2,37930,32274,5656,85.09,14.91,584,438,146,75,25,163,104,59,63.8,36.2,280,188,92,67.14,32.86,39248,39001,247,108,139,99.37,0.63,0.28,0.35,201,182,43,119,0,20,0,19,0,0,0,0,19,90.55,21.39,59.2,0,9.95,0,9.45,0,0,0,0,9.45,46500,14616,1281,13335,8.76,91.24
"Bullock County","Bullock County, Alabama","050","00","3","6","01011","01","011",11042,11042,17.6653175095666,625.066602625186,11042,3381,2702,3186,1773,30.62,24.47,28.85,16.06,11042,10977,3011,7948,8,10,0,65,25,38,0,0,2,99.41,27.27,71.98,0.07,0.09,0,0.59,0.23,0.34,0,0,0.02,3787,2712,1590,1122,143,979,1075,413,662,71.61,41.99,29.63,3.78,25.85,28.39,10.91,17.48,11042,671,10371,6.08,93.92,6727,3428,3299,1630,676,260,50.96,49.04,24.23,10.05,3.87,4084,3753,331,91.9,8.1,1976,1813,163,91.75,8.25,2108,1940,168,92.03,7.97,1410,1328,82,94.18,5.82,2663,2414,249,90.65,9.35,0,0,0,,,17,17,0,100,0,14745,3755,778,2977,20.72,79.28,3787,2729,1058,72.06,27.94,3385,1667,1718,49.25,50.75,10340,6564,2428,4107,0,29,0,3776,306,3470,0,0,0,63.48,23.48,39.72,0,0.28,0,36.52,2.96,33.56,0,0,0,2734,2428,306,88.81,11.19,7577,4107,3470,54.2,45.8,0,0,0,,,30,27,3,90,10,11042,11018,24,24,0,99.78,0.22,0.22,0,673,673,639,30,0,0,4,0,0,0,0,0,0,100,94.95,4.46,0,0,0.59,0,0,0,0,0,0,32300,3755,778,2977,20.72,79.28
"Butler County","Butler County, Alabama","050","00","3","6","01013","01","013",21892,21892,28.1772819098924,776.937962646931,21892,6591,4834,6787,3680,30.11,22.08,31,16.81,21892,21827,13001,8783,24,19,0,65,48,15,0,0,2,99.7,59.39,40.12,0.11,0.09,0,0.3,0.22,0.07,0,0,0.01,7935,5825,4261,1564,275,1289,2110,745,1365,73.41,53.7,19.71,3.47,16.24,26.59,9.39,17.2,21892,211,21681,0.96,99.04,13490,6374,7116,3189,1083,414,47.25,52.75,23.64,8.03,3.07,8775,7537,1238,85.89,14.11,4559,4059,500,89.03,10.97,4216,3478,738,82.5,17.5,5763,5301,462,91.98,8.02,2983,2211,772,74.12,25.88,14,14,0,100,0,40,24,16,60,40,16054,7894,1389,6505,17.6,82.4,7935,5788,2147,72.94,27.06,6553,3762,2791,57.41,42.59,21648,14833,10705,4100,12,4,12,6815,2156,4638,9,12,0,68.52,49.45,18.94,0.06,0.02,0.06,31.48,9.96,21.42,0.04,0.06,0,12861,10705,2156,83.24,16.76,8738,4100,4638,46.92,53.08,21,12,9,57.14,42.86,121,50,71,41.32,58.68,21892,21842,50,39,11,99.77,0.23,0.18,0.05,205,205,30,175,0,0,0,0,0,0,0,0,0,100,14.63,85.37,0,0,0,0,0,0,0,0,0,34000,7894,1389,6505,17.6,82.4
"Calhoun County","Calhoun County, Alabama","050","00","3","6","01015","01","015",116034,116034,190.684912160747,608.511699668107,116034,28978,33392,39287,14377,24.97,28.78,33.86,12.39,116034,114752,92154,21476,291,814,17,1282,719,102,5,55,401,98.9,79.42,18.51,0.25,0.7,0.01,1.1,0.62,0.09,0,0.05,0.35,42983,31718,25111,6607,1261,5346,11265,4521,6744,73.79,58.42,15.37,2.93,12.44,26.21,10.52,15.69,116034,4945,111089,4.26,95.74,72445,23633,48812,27101,10266,3682,32.62,67.38,37.41,14.17,5.08,51249,46899,4350,91.51,8.49,27188,25255,1933,92.89,7.11,24061,21644,2417,89.95,10.05,42457,39486,2971,93,7,8357,7023,1334,84.04,15.96,105,95,10,90.48,9.52,286,254,32,88.81,11.19,23802,42806,3173,39633,7.41,92.59,42983,30224,12759,70.32,29.68,28698,23187,5511,80.8,19.2,110981,93596,78758,13611,277,732,218,17385,11036,6260,8,73,8,84.34,70.97,12.26,0.25,0.66,0.2,15.66,9.94,5.64,0.01,0.07,0.01,89794,78758,11036,87.71,12.29,19871,13611,6260,68.5,31.5,285,277,8,97.19,2.81,1032,989,43,95.83,4.17,116034,114572,1462,865,597,98.74,1.26,0.75,0.51,4907,954,262,551,4,87,50,3953,1812,2062,30,10,39,19.44,5.34,11.23,0.08,1.77,1.02,80.56,36.93,42.02,0.61,0.2,0.79,51600,42806,3173,39633,7.41,92.59
"Chambers County","Chambers County, Alabama","050","00","3","6","01017","01","017",36876,36876,61.7265215787933,597.409331626247,36876,9632,8891,12134,6219,26.12,24.11,32.9,16.86,36876,36749,23510,13187,36,12,4,127,65,34,5,1,22,99.66,63.75,35.76,0.1,0.03,0.01,0.34,0.18,0.09,0.01,0,0.06,13786,10219,7564,2655,486,2169,3567,1370,2197,74.13,54.87,19.26,3.53,15.73,25.87,9.94,15.94,36876,378,36498,1.03,98.97,23681,10833,12848,6099,2101,719,45.75,54.25,25.75,8.87,3.04,17576,16376,1200,93.17,6.83,9125,8616,509,94.42,5.58,8451,7760,691,91.82,8.18,11840,11332,508,95.71,4.29,5680,4994,686,87.92,12.08,22,22,0,100,0,53,53,0,100,0,21256,13860,1360,12500,9.81,90.19,13786,10472,3314,75.96,24.04,9476,6853,2623,72.32,27.68,36424,29575,20984,8514,43,6,28,6849,2261,4581,0,0,7,81.2,57.61,23.37,0.12,0.02,0.08,18.8,6.21,12.58,0,0,0.02,23245,20984,2261,90.27,9.73,13095,8514,4581,65.02,34.98,43,43,0,100,0,109,103,6,94.5,5.5,36876,36783,93,40,53,99.75,0.25,0.11,0.14,374,363,83,280,0,0,0,11,0,0,0,0,11,97.06,22.19,74.87,0,0,0,2.94,0,0,0,0,2.94,37900,13860,1360,12500,9.81,90.19
"Cherokee County","Cherokee County, Alabama","050","00","3","6","01019","01","019",19543,19543,35.3288482446601,553.173991539729,19543,4692,4721,7240,2890,24.01,24.16,37.05,14.79,19543,19486,18118,1291,51,24,2,57,36,0,0,0,21,99.71,92.71,6.61,0.26,0.12,0.01,0.29,0.18,0,0,0,0.11,7466,5860,4984,876,210,666,1606,627,979,78.49,66.76,11.73,2.81,8.92,21.51,8.4,13.11,19543,70,19473,0.36,99.64,12954,6030,6924,2832,866,373,46.55,53.45,21.86,6.69,2.88,9135,8444,691,92.44,7.56,5118,4739,379,92.59,7.41,4017,3705,312,92.23,7.77,8493,7865,628,92.61,7.39,597,542,55,90.79,9.21,28,20,8,71.43,28.57,53,53,0,100,0,21368,7452,775,6677,10.4,89.6,7466,5959,1507,79.82,20.18,4614,3668,946,79.5,20.5,19464,16040,15015,971,22,12,20,3424,3110,306,8,0,0,82.41,77.14,4.99,0.11,0.06,0.1,17.59,15.98,1.57,0.04,0,0,18125,15015,3110,82.84,17.16,1277,971,306,76.04,23.96,30,22,8,73.33,26.67,89,67,22,75.28,24.72,19543,19496,47,30,17,99.76,0.24,0.15,0.09,77,76,17,59,0,0,0,1,0,0,0,0,1,98.7,22.08,76.62,0,0,0,1.3,0,0,0,0,1.3,44700,7452,775,6677,10.4,89.6
