GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,ZIPA,CD103A,ANPSADPI,E3N001,E3N002,E3N003,E3N004,E3N005,E3N006,E3N007,E3N008,E3N009,E34001,E34002,E34003,E34004,E34005,E34006,E34007,E34008,E34009,E34010,E34011,E34012,E34013,E34014,E34015,E34016,E34017,E34018,E34019,E34020,E34021,E34022,E34023,E34024,E34025,E34026,E34027,E34028,E34029,E34030,E34031,E34032,E34033,E34034,E34035,E4I001,E4I002,E4I003,E4I004,E4I005,E4I006,E4I007,E4I008,E4T001,E4T002,E4T003,E4T004,E4T005,E4T006,E4T007,E4T008,E4T009,E4T010,E4T011,E4T012,E4T013,E4T014,E4T015,E4T016,E4T017,E4T018,E4T019,E4T020,E4T021,E4T022,E4T023,E4T024,E4T025,E5A001,E5A002,E07001,E07002,E07003,E07004,E07005,E07006,E07007,E07008,E07009,E07010,E07011,E07012,E07013,E07014,E07015,E07016,E07017,E07018,E07019,E07020,E07021,E07022,E07023,E07024
"G0100010","1990",,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,,"Autauga County",24379,827,1619,5860,814,0,7,375,341,1495,2784,5666,3561,819,1895,886,927,1014,979,380,120,158,72,0,3,20,5,0,0,4,16,8,0,17,0,7,0,0,5,6,10,0,4,0,346,8351,394,2884,73,7081,484,5686,915,1111,575,626,578,583,534,443,391,469,593,380,443,439,444,267,401,235,585,484,764,411,89,29,37,940,10886,1994,422,2586,2851,2705,4916,4335,3781,1430,1232,1550,883,626,90,686,754,586,611,411,336,172,207,474,371
"G0100030","1990",,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,,"Baldwin County",63928,4014,8161,18910,1704,21,0,567,975,4838,8893,18608,11864,2789,6829,3585,1437,1922,1765,831,219,196,173,104,96,133,125,46,33,8,0,8,13,8,8,21,25,7,4,25,10,0,0,0,136,23796,1042,11183,8,19209,1433,19054,2549,3726,2324,1671,2100,1824,2055,1798,1813,1506,1518,1232,1450,1021,1133,833,1082,779,1526,954,2041,1236,457,179,319,1795,35331,5214,1076,6755,7019,6507,12566,12398,10264,4474,4611,8057,4339,1471,364,1791,1660,1461,1916,1451,859,422,543,1020,989
"G0100050","1990",,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,,"Barbour County",19237,537,777,4463,245,0,0,76,82,1322,1785,2816,1559,504,1059,532,2081,1767,1433,383,161,160,75,0,10,0,15,0,11,0,0,0,9,0,0,0,20,0,0,0,0,0,0,0,33,5499,381,2797,2,4814,457,4842,1395,1275,589,538,588,307,563,346,375,381,416,283,282,222,245,153,144,91,222,198,275,148,98,37,63,1333,7901,1210,266,1739,1651,1652,2946,2996,2000,885,880,1444,872,645,143,925,640,599,683,552,384,182,230,580,681
"G0100070","1990",,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,,"Bibb County",14775,178,320,1121,140,0,3,21,18,1663,2013,2984,922,267,237,208,457,713,423,88,55,16,15,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4014,180,1643,0,2711,284,3458,695,790,398,341,350,345,312,283,257,182,215,202,270,95,142,82,153,75,135,121,206,83,2,7,35,562,5214,877,168,1206,1171,1336,2146,1718,1715,587,521,853,552,262,82,432,516,336,382,359,241,112,144,296,292
"G0100090","1990",,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,,"Blount County",33869,327,1233,3093,390,0,0,89,247,4214,5548,8624,3554,1066,1145,607,39,52,119,64,21,7,6,35,13,20,32,0,0,0,9,0,0,0,8,0,8,33,17,0,0,0,0,0,32,10434,438,3786,4,7134,496,8151,1518,1631,879,826,889,776,828,644,851,531,797,472,474,438,451,304,235,286,375,326,626,291,65,41,62,1281,13335,2076,360,2589,3111,3476,5135,5025,4413,1660,1594,2226,1321,572,127,496,612,400,784,653,359,204,273,696,762
"G0100110","1990",,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,,"Bullock County",9922,103,182,764,47,0,0,0,24,301,484,682,372,116,200,150,1301,1336,976,336,130,216,110,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,1813,163,1821,0,1940,168,2062,872,530,251,250,254,196,222,98,158,88,180,80,59,33,91,45,46,29,68,51,78,63,13,0,0,778,2977,382,74,663,548,467,1049,1065,681,298,280,646,411,528,61,485,644,340,340,269,239,71,114,359,326
"G0100130","1990",,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,,"Butler County",19639,184,362,1456,113,11,0,77,50,1518,2029,2904,1204,397,574,319,1556,1269,1006,339,162,95,95,0,2,13,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,8,4059,500,2662,0,3478,738,4640,1238,1527,552,479,358,325,451,334,380,334,290,221,201,171,129,178,74,73,136,113,205,50,29,17,29,1389,6505,871,229,1298,1364,1207,2135,2306,1521,791,869,1363,879,737,157,1017,880,598,831,617,428,118,150,545,737
"G0100150","1990",,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,,"Calhoun County",82664,3757,6053,17444,2543,304,21,1786,1462,7623,11365,17953,10802,3041,5751,3349,1654,2739,3532,2105,606,772,305,9,38,22,85,31,14,0,100,82,148,69,45,41,21,0,23,56,36,15,6,7,3744,25255,1933,11845,872,21644,2417,22530,3851,5060,2590,2226,2395,1926,2346,1937,2344,1952,2212,1571,1656,1182,1332,1065,939,783,1564,1009,1482,850,240,71,223,3173,39633,5510,1119,8019,8539,8576,15609,15049,10960,4901,4440,6932,3942,1703,344,1763,1701,2534,2407,1402,1141,677,644,1696,1373
"G0100170","1990",,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,,"Chambers County",29573,445,565,5906,259,6,0,29,93,2496,4097,4857,2234,892,1172,591,2002,2211,1868,594,262,205,128,8,13,14,8,0,0,0,0,6,0,0,0,0,0,0,0,10,8,0,5,0,19,8616,509,3872,0,7760,691,7042,1423,1998,898,776,857,576,800,574,694,474,539,475,572,334,502,389,288,264,372,211,435,247,77,34,51,1360,12500,1670,375,2426,2382,2957,4475,4440,3278,1690,1451,2663,1768,701,193,859,870,665,745,549,400,170,247,629,821
"G0100190","1990",,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,,"Cherokee County",13285,102,631,5315,151,0,0,12,47,2537,3160,3792,1428,418,463,353,134,167,295,102,11,30,19,8,8,5,4,0,0,1,0,2,0,0,3,0,0,4,10,0,0,0,0,0,2,4739,379,2401,0,3705,312,4003,810,1023,453,424,412,355,455,351,391,339,392,197,300,205,151,150,118,124,267,136,212,106,34,16,31,775,6677,838,110,1270,1450,1745,2279,2580,2030,917,749,1373,699,274,32,330,310,221,472,360,218,213,222,370,402
