GISJOIN,YEAR,COUNTY,COUNTYA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,ANPSADPI,EKO001,EKO002
"G0100010","1990","Autauga","001","6","5240",,"9999","3","Alabama","01","Autauga County",28685,5324
"G0100030","1990","Baldwin","003","6","5160",,"9999","3","Alabama","01","Baldwin County",83280,13947
"G0100050","1990","Barbour","005","6","9999",,"9999","3","Alabama","01","Barbour County",18541,6244
"G0100070","1990","Bibb","007","6","9999",,"9999","3","Alabama","01","Bibb County",12850,3454
"G0100090","1990","Blount","009","6","1000",,"9999","3","Alabama","01","Blount County",32986,5938
"G0100110","1990","Bullock","011","6","9999",,"9999","3","Alabama","01","Bullock County",6564,3776
"G0100130","1990","Butler","013","6","9999",,"9999","3","Alabama","01","Butler County",14833,6815
"G0100150","1990","Calhoun","015","6","0450",,"9999","3","Alabama","01","Calhoun County",93596,17385
"G0100170","1990","Chambers","017","6","9999",,"9999","3","Alabama","01","Chambers County",29575,6849
"G0100190","1990","Cherokee","019","6","9999",,"9999","3","Alabama","01","Cherokee County",16040,3424
"G0100210","1990","Chilton","021","6","9999",,"9999","3","Alabama","01","Chilton County",26618,5495
"G0100230","1990","Choctaw","023","6","9999",,"9999","3","Alabama","01","Choctaw County",11120,4809
"G0100250","1990","Clarke","025","6","9999",,"9999","3","Alabama","01","Clarke County",19936,6960
"G0100270","1990","Clay","027","6","9999",,"9999","3","Alabama","01","Clay County",10753,2272
"G0100290","1990","Cleburne","029","6","9999",,"9999","3","Alabama","01","Cleburne County",10717,1936
"G0100310","1990","Coffee","031","6","9999",,"9999","3","Alabama","01","Coffee County",33600,6180
"G0100330","1990","Colbert","033","6","2650",,"9999","3","Alabama","01","Colbert County",43868,7477
"G0100350","1990","Conecuh","035","6","9999",,"9999","3","Alabama","01","Conecuh County",9794,4145
"G0100370","1990","Coosa","037","6","9999",,"9999","3","Alabama","01","Coosa County",8918,1984
"G0100390","1990","Covington","039","6","9999",,"9999","3","Alabama","01","Covington County",28191,7971
"G0100410","1990","Crenshaw","041","6","9999",,"9999","3","Alabama","01","Crenshaw County",10200,3279
"G0100430","1990","Cullman","043","6","9999",,"9999","3","Alabama","01","Cullman County",56514,10214
"G0100450","1990","Dale","045","6","2180",,"9999","3","Alabama","01","Dale County",40157,6971
"G0100470","1990","Dallas","047","6","9999",,"9999","3","Alabama","01","Dallas County",30077,17099
"G0100490","1990","DeKalb","049","6","9999",,"9999","3","Alabama","01","DeKalb County",44688,9382
"G0100510","1990","Elmore","051","6","5240",,"9999","3","Alabama","01","Elmore County",39170,6643
"G0100530","1990","Escambia","053","6","9999",,"9999","3","Alabama","01","Escambia County",24564,9584
"G0100550","1990","Etowah","055","6","2880",,"9999","3","Alabama","01","Etowah County",82250,16242
"G0100570","1990","Fayette","057","6","9999",,"9999","3","Alabama","01","Fayette County",14175,3615
"G0100590","1990","Franklin","059","6","9999",,"9999","3","Alabama","01","Franklin County",21780,5691
"G0100610","1990","Geneva","061","6","9999",,"9999","3","Alabama","01","Geneva County",18927,4583
"G0100630","1990","Greene","063","6","9999",,"9999","3","Alabama","01","Greene County",5464,4575
