Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T009_005,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004,PCT_SE_T009_005,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T015_006,SE_T015_007,SE_T015_008,SE_T015_009,SE_T015_010,SE_T015_011,SE_T015_012,SE_T015_013,SE_T015_014,SE_T015_015,SE_T015_016,SE_T015_017,PCT_SE_T015_002,PCT_SE_T015_003,PCT_SE_T015_004,PCT_SE_T015_005,PCT_SE_T015_006,PCT_SE_T015_007,PCT_SE_T015_008,PCT_SE_T015_009,PCT_SE_T015_010,PCT_SE_T015_011,PCT_SE_T015_012,PCT_SE_T015_013,PCT_SE_T015_014,PCT_SE_T015_015,PCT_SE_T015_016,PCT_SE_T015_017,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T020_005,SE_T020_006,SE_T020_007,SE_T020_008,SE_T020_009,PCT_SE_T020_002,PCT_SE_T020_003,PCT_SE_T020_004,PCT_SE_T020_005,PCT_SE_T020_006,PCT_SE_T020_007,PCT_SE_T020_008,PCT_SE_T020_009,SE_T039_001,SE_T039_002,SE_T039_003,SE_T039_004,SE_T039_005,SE_T039_006,SE_T039_007,SE_T039_008,SE_T039_009,SE_T039_010,SE_T039_011,PCT_SE_T039_002,PCT_SE_T039_003,PCT_SE_T039_004,PCT_SE_T039_005,PCT_SE_T039_006,PCT_SE_T039_007,PCT_SE_T039_008,PCT_SE_T039_009,PCT_SE_T039_010,PCT_SE_T039_011,SE_T043_001,SE_T043_002,SE_T043_003,SE_T043_004,SE_T043_005,SE_T043_006,SE_T043_008,SE_T043_007,PCT_SE_T043_002,PCT_SE_T043_003,PCT_SE_T043_004,PCT_SE_T043_005,PCT_SE_T043_006,PCT_SE_T043_008,PCT_SE_T043_007,SE_T073_001,SE_T073_002,SE_T073_003,PCT_SE_T073_002,PCT_SE_T073_003,SE_T074_001,SE_T074_002,SE_T074_003,PCT_SE_T074_002,PCT_SE_T074_003,SE_T075_001,SE_T075_002,SE_T075_003,PCT_SE_T075_002,PCT_SE_T075_003,SE_T076_001,SE_T076_002,SE_T076_003,PCT_SE_T076_002,PCT_SE_T076_003,SE_T077_001,SE_T077_002,SE_T077_003,PCT_SE_T077_002,PCT_SE_T077_003,SE_T078_001,SE_T078_002,SE_T078_003,PCT_SE_T078_002,PCT_SE_T078_003,SE_T083_001,SE_T083_002,SE_T083_003,PCT_SE_T083_002,PCT_SE_T083_003,SE_T093_001,SE_T156_001,SE_T156_002,SE_T156_003,PCT_SE_T156_002,PCT_SE_T156_003,SE_T163_001,SE_T180_001,SE_T180_002,SE_T180_003,PCT_SE_T180_002,PCT_SE_T180_003,SE_T183_001,SE_T183_002,SE_T183_003,SE_T183_004,SE_T183_005,SE_T183_006,PCT_SE_T183_002,PCT_SE_T183_003,PCT_SE_T183_005,PCT_SE_T183_006,SE_T186_001,SE_T186_002,SE_T186_003,PCT_SE_T186_002,PCT_SE_T186_003,SE_T187_001,SE_T187_002,SE_T187_003,PCT_SE_T187_002,PCT_SE_T187_003,SE_T190_001,SE_T190_002,SE_T190_003,PCT_SE_T190_002,PCT_SE_T190_003,SE_T193_001,SE_T193_002,SE_T193_003,PCT_SE_T193_002,PCT_SE_T193_003,SE_T201_001,SE_T201_002,SE_T201_003,SE_T201_004,SE_T201_005,PCT_SE_T201_002,PCT_SE_T201_003,PCT_SE_T201_004,PCT_SE_T201_005,SF3_P064001,SF3_P064002,SF3_P064003,PCT_SF3_P064002,PCT_SF3_P064003
"Autauga County","Autauga County, Alabama","1543550050","21959029   ","050","00","3","6","01001","01","001",43671,43671,73.27742,595.96804309518,43671,12494,9231,17495,4451,28.61,21.14,40.06,10.19,43671,43061,34823,7428,186,194,12,44,374,610,398,45,8,6,1,121,31,98.6,79.74,17.01,0.43,0.44,0.03,0.1,0.86,1.4,0.91,0.1,0.02,0.01,0,0.28,0.07,16003,12353,9653,2700,602,2098,3650,1647,2003,77.19,60.32,16.87,3.76,13.11,22.81,10.29,12.52,43671,260,181,100,81,0,79,7,0,72,43411,0.6,0.41,0.23,0.19,0,0.18,0.02,0,0.16,99.4,27589,5872,21717,12385,4972,1727,398,122,21.28,78.72,44.89,18.02,6.26,1.44,0.44,20601,19595,1006,95.12,4.88,11091,10583,508,95.42,4.58,9510,9012,498,94.76,5.24,17156,16529,627,96.35,3.65,2928,2587,341,88.35,11.65,119,119,0,100,0,195,195,0,100,0,42013,16003,12929,3074,80.79,19.21,82500,12362,1696,10666,13.72,86.28,21019,1976,19043,22358,2762,19596,9.4,90.6,12.35,87.65,34756,2428,32328,6.99,93.01,7391,2133,5258,28.86,71.14,0,0,0,,,394,122,272,30.96,69.04,43671,43162,509,312,197,98.83,1.17,0.71,0.45,15972,333,15639,2.08,97.92
"Baldwin County","Baldwin County, Alabama","4134518782","1115203109 ","050","00","3","6","01003","01","003",140415,140415,87.96021,1596.3466950426,140415,34320,27506,56886,21703,24.44,19.59,40.51,15.46,140415,137949,120868,14357,753,531,37,104,1299,2466,1498,87,56,6,1,651,167,98.24,86.08,10.22,0.54,0.38,0.03,0.07,0.93,1.76,1.07,0.06,0.04,0,0,0.46,0.12,55336,40260,32839,7421,1751,5670,15076,6911,8165,72.76,59.34,13.41,3.16,10.25,27.24,12.49,14.76,140415,2274,1654,863,610,181,620,221,5,394,138141,1.62,1.18,0.61,0.43,0.13,0.44,0.16,0,0.28,98.38,96010,17258,78752,50324,22146,7921,2239,686,17.98,82.02,52.42,23.07,8.25,2.33,0.71,65751,62938,2813,95.72,4.28,35437,34042,1395,96.06,3.94,30314,28896,1418,95.32,4.68,58180,55945,2235,96.16,3.84,5712,5255,457,92,8,449,440,9,98,2,1230,1091,139,88.7,11.3,40250,55336,44016,11320,79.54,20.46,105300,33897,4546,29351,13.41,86.59,67345,5894,61451,70803,8124,62679,8.75,91.25,11.47,88.53,120839,9766,111073,8.08,91.92,13515,3616,9899,26.76,73.24,41,0,41,0,100,2325,501,1824,21.55,78.45,140415,137458,2957,1143,1814,97.89,2.11,0.81,1.29,55356,781,54575,1.41,98.59
"Barbour County","Barbour County, Alabama","2291889572","50799584   ","050","00","3","6","01005","01","005",29038,29038,32.81487,884.90358410927,29038,7383,6757,11025,3873,25.43,23.27,37.97,13.34,29038,28560,14788,13369,119,83,6,4,191,478,99,82,12,1,2,261,21,98.35,50.93,46.04,0.41,0.29,0.02,0.01,0.66,1.65,0.34,0.28,0.04,0,0.01,0.9,0.07,10409,7393,4986,2407,424,1983,3016,1281,1735,71.03,47.9,23.12,4.07,19.05,28.97,12.31,16.67,29038,2718,2711,2464,186,61,7,0,0,7,26320,9.36,9.34,8.49,0.64,0.21,0.02,0,0,0.02,90.64,18896,6679,12217,6093,2068,706,166,24,35.35,64.65,32.24,10.94,3.74,0.88,0.13,10805,10193,612,94.34,5.66,5703,5442,261,95.42,4.58,5102,4751,351,93.12,6.88,6488,6324,164,97.47,2.53,4006,3562,444,88.92,11.08,17,17,0,100,0,287,278,9,96.86,3.14,25101,10409,7612,2797,73.13,26.87,57200,7259,2704,4555,37.25,62.75,12343,2757,9586,13896,4275,9621,22.34,77.66,30.76,69.24,13870,1808,12062,13.04,86.96,11846,5032,6814,42.48,57.52,0,0,0,,,468,240,228,51.28,48.72,29038,28603,435,75,360,98.5,1.5,0.26,1.24,10432,298,10134,2.86,97.14
"Bibb County","Bibb County, Alabama","1613627425","8124469    ","050","00","3","6","01007","01","007",20826,20826,33.42723,623.025045675887,20826,5286,5224,7903,2413,25.38,25.08,37.95,11.59,20826,20616,15870,4584,46,17,2,0,97,210,96,40,3,0,0,61,10,98.99,76.2,22.01,0.22,0.08,0.01,0,0.47,1.01,0.46,0.19,0.01,0,0,0.29,0.05,7421,5581,4331,1250,311,939,1840,881,959,75.21,58.36,16.84,4.19,12.65,24.79,11.87,12.92,20826,1239,1024,900,106,18,215,0,0,215,19587,5.95,4.92,4.32,0.51,0.09,1.03,0,0,1.03,94.05,13540,4984,8556,3718,962,411,89,22,36.81,63.19,27.46,7.1,3.04,0.66,0.16,8497,7967,530,93.76,6.24,4801,4509,292,93.92,6.08,3696,3458,238,93.56,6.44,7163,6819,344,95.2,4.8,1215,1035,180,85.19,14.81,25,25,0,100,0,78,78,0,100,0,31420,7421,5951,1470,80.19,19.81,57400,5251,1476,3775,28.11,71.89,9821,1919,7902,10031,2172,7859,19.54,80.46,21.65,78.35,15612,2249,13363,14.41,85.59,3974,1803,2171,45.37,54.63,0,0,0,,,181,30,151,16.57,83.43,20826,20737,89,12,77,99.57,0.43,0.06,0.37,7383,223,7160,3.02,96.98
"Blount County","Blount County, Alabama","1672057889","12998871   ","050","00","3","6","01009","01","009",51024,51024,79.03527,645.585174912007,51024,12948,11453,20065,6558,25.38,22.45,39.32,12.85,51024,48306,46999,598,212,70,6,14,407,2718,1513,8,38,1,6,1040,112,94.67,92.11,1.17,0.42,0.14,0.01,0.03,0.8,5.33,2.97,0.02,0.07,0,0.01,2.04,0.22,19265,14807,12616,2191,677,1514,4458,2034,2424,76.86,65.49,11.37,3.51,7.86,23.14,10.56,12.58,51024,610,440,120,320,0,170,0,0,170,50414,1.2,0.86,0.24,0.63,0,0.33,0,0,0.33,98.8,33702,9960,23742,11606,3235,1263,370,123,29.55,70.45,34.44,9.6,3.75,1.1,0.36,23858,22701,1157,95.15,4.85,13616,13059,557,95.91,4.09,10242,9642,600,94.14,5.86,22850,21749,1101,95.18,4.82,176,163,13,92.61,7.39,85,70,15,82.35,17.65,815,781,34,95.83,4.17,35241,19265,16075,3190,83.44,16.56,76900,12923,1748,11175,13.53,86.47,25120,2542,22578,25379,3388,21991,10.12,89.88,13.35,86.65,47584,5340,42244,11.22,88.78,563,99,464,17.58,82.42,13,7,6,53.85,46.15,2613,732,1881,28.01,71.99,51024,49443,1581,277,1304,96.9,3.1,0.54,2.56,19153,319,18834,1.67,98.33
"Bullock County","Bullock County, Alabama","1618775183","2703063    ","050","00","3","6","01011","01","011",11714,11714,18.74202,625.012613185853,11714,3058,2806,4307,1543,26.11,23.95,36.77,13.17,11714,11392,2764,8486,37,21,1,6,77,322,194,78,7,0,1,37,5,97.25,23.6,72.44,0.32,0.18,0.01,0.05,0.66,2.75,1.66,0.67,0.06,0,0.01,0.32,0.04,3986,2731,1415,1316,192,1124,1255,559,696,68.51,35.5,33.02,4.82,28.2,31.49,14.02,17.46,11714,1511,1511,1397,114,0,0,0,0,0,10203,12.9,12.9,11.93,0.97,0,0,0,0,0,87.1,7570,2992,4578,1911,586,256,48,12,39.52,60.48,25.24,7.74,3.38,0.63,0.16,3763,3441,322,91.44,8.56,2004,1889,115,94.26,5.74,1759,1552,207,88.23,11.77,1265,1259,6,99.53,0.47,2435,2125,310,87.27,12.73,11,11,0,100,0,274,274,0,100,0,20605,3986,2969,1017,74.49,25.51,54000,2989,1345,1644,45,55,4681,1361,3320,5488,2044,3444,29.07,70.93,37.24,62.76,2536,273,2263,10.76,89.24,7520,3132,4388,41.65,58.35,0,0,0,,,335,61,274,18.21,81.79,11714,11356,358,58,300,96.94,3.06,0.5,2.56,3993,127,3866,3.18,96.82
"Butler County","Butler County, Alabama","2012076972","2732130    ","050","00","3","6","01013","01","013",21399,21399,27.54525,776.867278149551,21399,5754,4168,7971,3506,26.89,19.48,37.25,16.38,21399,21256,12429,8671,44,34,0,4,74,143,63,61,1,1,0,7,10,99.33,58.08,40.52,0.21,0.16,0,0.02,0.35,0.67,0.29,0.29,0,0,0,0.03,0.05,8398,5872,4009,1863,335,1528,2526,1067,1459,69.92,47.74,22.18,3.99,18.19,30.08,12.71,17.37,21399,265,243,31,212,0,22,0,0,22,21134,1.24,1.14,0.14,0.99,0,0.1,0,0,0.1,98.76,13767,4439,9328,4579,1433,418,161,19,32.24,67.76,33.26,10.41,3.04,1.17,0.14,8958,8006,952,89.37,10.63,4563,4195,368,91.94,8.06,4395,3811,584,86.71,13.29,5799,5479,320,94.48,5.52,3132,2500,632,79.82,20.18,3,3,0,100,0,30,15,15,50,50,24791,8398,6403,1995,76.24,23.76,48600,5736,1813,3923,31.61,68.39,9899,2198,7701,11244,3007,8237,22.2,77.8,26.74,73.26,12249,1409,10840,11.5,88.5,8776,3755,5021,42.79,57.21,0,0,0,,,118,65,53,55.08,44.92,21399,21321,78,53,25,99.64,0.36,0.25,0.12,8386,265,8121,3.16,96.84
"Calhoun County","Calhoun County, Alabama","1575907564","9996496    ","050","00","3","6","01015","01","015",112249,112249,184.4801,608.461345766853,112249,26456,26090,43831,15872,23.57,23.24,39.05,14.14,112249,110496,87598,20725,427,625,74,85,962,1753,939,85,18,8,2,582,119,98.44,78.04,18.46,0.38,0.56,0.07,0.08,0.86,1.56,0.84,0.08,0.02,0.01,0,0.52,0.11,45307,31300,23647,7653,1598,6055,14007,6009,7998,69.08,52.19,16.89,3.53,13.36,30.92,13.26,17.65,112249,2428,859,357,427,75,1569,1159,4,406,109821,2.16,0.77,0.32,0.38,0.07,1.4,1.03,0,0.36,97.84,74015,19318,54697,30841,11265,4653,1321,493,26.1,73.9,41.67,15.22,6.29,1.78,0.67,51230,47856,3374,93.41,6.59,27765,26049,1716,93.82,6.18,23465,21807,1658,92.93,7.07,41645,39472,2173,94.78,5.22,8406,7274,1132,86.53,13.47,191,186,5,97.38,2.62,866,809,57,93.42,6.58,31768,45307,32856,12451,72.52,27.48,65700,25977,5976,20001,23,77,52072,6978,45094,57758,10717,47041,13.4,86.6,18.56,81.44,87340,11024,76316,12.62,87.38,19656,6111,13545,31.09,68.91,21,0,21,0,100,1883,401,1482,21.3,78.7,112249,110342,1907,946,961,98.3,1.7,0.84,0.86,45380,1041,44339,2.29,97.71
"Chambers County","Chambers County, Alabama","1546657021","15382288   ","050","00","3","6","01017","01","017",36583,36583,61.26085,597.167640931155,36583,9017,7910,13728,5928,24.65,21.62,37.53,16.2,36583,36303,22111,13872,49,68,0,13,190,280,160,71,0,0,0,30,19,99.23,60.44,37.92,0.13,0.19,0,0.04,0.52,0.77,0.44,0.19,0,0,0,0.08,0.05,14522,10197,7043,3154,631,2523,4325,1831,2494,70.22,48.5,21.72,4.35,17.37,29.78,12.61,17.17,36583,518,476,173,303,0,42,0,0,42,36065,1.42,1.3,0.47,0.83,0,0.11,0,0,0.11,98.58,24497,8778,15719,7856,2339,786,205,65,35.83,64.17,32.07,9.55,3.21,0.84,0.27,16789,15695,1094,93.48,6.52,8669,8101,568,93.45,6.55,8120,7594,526,93.52,6.48,10726,10223,503,95.31,4.69,5947,5371,576,90.31,9.69,32,26,6,81.25,18.75,138,138,0,100,0,29667,14522,10994,3528,75.71,24.29,56700,8917,2026,6891,22.72,77.28,17012,2452,14560,18994,3682,15312,14.41,85.59,19.39,80.61,21929,2066,19863,9.42,90.58,13776,3996,9780,29.01,70.99,0,0,0,,,266,43,223,16.17,83.83,36583,36289,294,63,231,99.2,0.8,0.17,0.63,14545,393,14152,2.7,97.3
"Cherokee County","Cherokee County, Alabama","1432576264","121290944  ","050","00","3","6","01019","01","019",23988,23988,43.36847,553.120808281737,23988,5320,4980,9870,3818,22.18,20.76,41.15,15.92,23988,23784,22164,1327,74,32,0,3,184,204,104,3,1,2,0,80,14,99.15,92.4,5.53,0.31,0.13,0,0.01,0.77,0.85,0.43,0.01,0,0.01,0,0.33,0.06,9719,7202,5970,1232,338,894,2517,1141,1376,74.1,61.43,12.68,3.48,9.2,25.9,11.74,14.16,23988,360,348,74,274,0,12,0,0,12,23628,1.5,1.45,0.31,1.14,0,0.05,0,0,0.05,98.5,16825,6138,10687,4822,1636,708,171,20,36.48,63.52,28.66,9.72,4.21,1.02,0.12,10590,10180,410,96.13,3.87,5876,5691,185,96.85,3.15,4714,4489,225,95.23,4.77,9862,9531,331,96.64,3.36,582,514,68,88.32,11.68,49,40,9,81.63,18.37,82,82,0,100,0,30874,9719,7944,1775,81.74,18.26,63500,5267,1120,4147,21.26,78.74,11639,1653,9986,11962,2019,9943,14.2,85.8,16.88,83.12,22017,3302,18715,15,85,1248,243,1005,19.47,80.53,0,0,0,,,222,74,148,33.33,66.67,23988,23729,259,91,168,98.92,1.08,0.38,0.7,9718,223,9495,2.29,97.71
