Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,PCT_SE_A12002_002,PCT_SE_A12002_003,PCT_SE_A12002_004,PCT_SE_A12002_005,PCT_SE_A12002_006,PCT_SE_A12002_007,PCT_SE_A12002_008,SE_A17005_001,SE_A17005_002,SE_A17005_003,PCT_SE_A17005_002,PCT_SE_A17005_003,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,PCT_SE_A17005A_002,PCT_SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,PCT_SE_A17005B_002,PCT_SE_A17005B_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,PCT_SE_A17006B_002,PCT_SE_A17006B_003,SE_A17006C_001,SE_A17006C_002,SE_A17006C_003,PCT_SE_A17006C_002,PCT_SE_A17006C_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003,PCT_SE_A17006H_002,PCT_SE_A17006H_003,SE_A17006I_001,SE_A17006I_002,SE_A17006I_003,PCT_SE_A17006I_002,PCT_SE_A17006I_003,SE_A10014_001,SE_A10014_002,SE_A10014_003,PCT_SE_A10014_002,PCT_SE_A10014_003,SE_A13002_001,SE_A13002_002,SE_A13002_003,SE_A13002_004,SE_A13002_005,SE_A13002_006,SE_A13002_007,SE_A13002_008,SE_A13002_009,SE_A13002_010,SE_A13002_011,PCT_SE_A13002_002,PCT_SE_A13002_003,PCT_SE_A13002_004,PCT_SE_A13002_005,PCT_SE_A13002_006,PCT_SE_A13002_007,PCT_SE_A13002_008,PCT_SE_A13002_009,PCT_SE_A13002_010,PCT_SE_A13002_011,SE_A13003A_001,SE_A13003A_002,SE_A13003A_003,PCT_SE_A13003A_002,PCT_SE_A13003A_003,SE_A13001B_001,SE_A13001B_002,SE_A13001B_003,PCT_SE_A13001B_002,PCT_SE_A13001B_003,SE_A13001C_001,SE_A13001C_002,SE_A13001C_003,PCT_SE_A13001C_002,PCT_SE_A13001C_003,SE_A13001H_001,SE_A13001H_002,SE_A13001H_003,PCT_SE_A13001H_002,PCT_SE_A13001H_003,SE_A13001I_001,SE_A13001I_002,SE_A13001I_003,PCT_SE_A13001I_002,PCT_SE_A13001I_003
"01001","05000US01001","Autauga County, Alabama","Autauga County, Alabama","al","050","00","ACSSF","0000013",,,,,"01","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35144,5232,29912,18038,7629,2544,666,251,14.89,85.11,51.33,21.71,7.24,1.9,0.71,26387,24125,2262,91.43,8.57,13893,12741,1152,91.71,8.29,12494,11384,1110,91.12,8.88,4667,3817,850,81.79,18.21,48,32,16,66.67,33.33,557,469,88,84.2,15.8,20654,19349,1305,93.68,6.32,19934,432,19502,2.17,97.83,14258,1050,191,106,38,8,30,715,634,81,13208,7.36,1.34,0.74,0.27,0.06,0.21,5.01,4.45,0.57,92.64,14611,2335,12276,15.98,84.02,9763,2792,6971,28.6,71.4,169,44,125,26.04,73.96,1307,366,941,28,72,41774,2916,38858,6.98,93.02
"01003","05000US01003","Baldwin County, Alabama","Baldwin County, Alabama","al","050","00","ACSSF","0000014",,,,,"01","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127271,14792,112479,75804,35307,11467,3587,1463,11.62,88.38,59.56,27.74,9.01,2.82,1.15,88578,81065,7513,91.52,8.48,47306,43398,3908,91.74,8.26,41272,37667,3605,91.27,8.73,7272,6398,874,87.98,12.02,527,368,159,69.83,30.17,4020,3487,533,86.74,13.26,74842,69143,5699,92.39,7.61,72751,822,71929,1.13,98.87,52117,5011,1461,688,460,303,157,2402,2111,291,47106,9.61,2.8,1.32,0.88,0.58,0.3,4.61,4.05,0.56,90.39,41931,8383,33548,19.99,80.01,16305,5907,10398,36.23,63.77,1022,336,686,32.88,67.12,7878,2322,5556,29.47,70.53,151729,14047,137682,9.26,90.74
"01005","05000US01005","Barbour County, Alabama","Barbour County, Alabama","al","050","00","ACSSF","0000015",,,,,"01","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18982,5013,13969,7649,2757,1144,305,81,26.41,73.59,40.3,14.52,6.03,1.61,0.43,10613,9177,1436,86.47,13.53,5381,4571,810,84.95,15.05,5232,4606,626,88.04,11.96,4465,3583,882,80.25,19.75,0,0,0,,,562,498,64,88.61,11.39,5379,4928,451,91.62,8.38,9423,134,9289,1.42,98.58,6394,1289,208,140,30,19,11,911,829,82,5105,20.16,3.25,2.19,0.47,0.3,0.17,14.25,12.97,1.28,79.84,5988,2503,3485,41.8,58.2,11144,4441,6703,39.85,60.15,0,0,0,,,1268,464,804,36.59,63.41,11692,1312,10380,11.22,88.78
"01007","05000US01007","Bibb County, Alabama","Bibb County, Alabama","al","050","00","ACSSF","0000016",,,,,"01","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15518,3702,11816,5359,1396,468,133,49,23.86,76.14,34.53,9,3.02,0.86,0.32,9621,8615,1006,89.54,10.46,5461,5007,454,91.69,8.31,4160,3608,552,86.73,13.27,1910,1701,209,89.06,10.94,37,14,23,37.84,62.16,103,100,3,97.09,2.91,7444,6688,756,89.84,10.16,7386,491,6895,6.65,93.35,5488,718,170,80,97,97,0,371,349,22,4770,13.08,3.1,1.46,1.77,1.77,0,6.76,6.36,0.4,86.92,5253,1416,3837,26.96,73.04,4339,1420,2919,32.73,67.27,72,58,14,80.56,19.44,393,162,231,41.22,58.78,16759,1937,14822,11.56,88.44
"01009","05000US01009","Blount County, Alabama","Blount County, Alabama","al","050","00","ACSSF","0000017",,,,,"01","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38703,9419,29284,15290,4792,1655,445,111,24.34,75.66,39.51,12.38,4.28,1.15,0.29,26306,23671,2635,89.98,10.02,14631,13057,1574,89.24,10.76,11675,10614,1061,90.91,9.09,286,162,124,56.64,43.36,133,107,26,80.45,19.55,2168,1903,265,87.78,12.22,23464,21263,2201,90.62,9.38,21031,275,20756,1.31,98.69,15590,1706,549,330,153,82,71,674,558,116,13884,10.94,3.52,2.12,0.98,0.53,0.46,4.32,3.58,0.74,89.06,13926,2885,11041,20.72,79.28,644,365,279,56.68,43.32,230,12,218,5.22,94.78,4646,1108,3538,23.85,76.15,50687,6831,43856,13.48,86.52
"01011","05000US01011","Bullock County, Alabama","Bullock County, Alabama","al","050","00","ACSSF","0000018",,,,,"01","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7575,2249,5326,2597,900,415,125,0,29.69,70.31,34.28,11.88,5.48,1.65,0,4762,4081,681,85.7,14.3,2732,2452,280,89.75,10.25,2030,1629,401,80.25,19.75,3161,2662,499,84.21,15.79,13,13,0,100,0,492,373,119,75.81,24.19,1058,995,63,94.05,5.95,3740,116,3624,3.1,96.9,2414,444,18,0,77,26,51,349,284,65,1970,18.39,0.75,0,3.19,1.08,2.11,14.46,11.76,2.69,81.61,2383,995,1388,41.75,58.25,7369,1946,5423,26.41,73.59,20,0,20,0,100,618,245,373,39.64,60.36,2242,95,2147,4.24,95.76
"01013","05000US01013","Butler County, Alabama","Butler County, Alabama","al","050","00","ACSSF","0000019",,,,,"01","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14081,3341,10740,5277,1812,583,112,64,23.73,76.27,37.48,12.87,4.14,0.8,0.45,9068,7819,1249,86.23,13.77,4386,3660,726,83.45,16.55,4682,4159,523,88.83,11.17,3656,2957,699,80.88,19.12,9,9,0,100,0,67,53,14,79.1,20.9,5160,4638,522,89.88,10.12,8149,153,7996,1.88,98.12,5380,1164,218,188,92,76,16,666,590,76,4216,21.64,4.05,3.49,1.71,1.41,0.3,12.38,10.97,1.41,78.36,4935,1779,3156,36.05,63.95,8850,3321,5529,37.53,62.47,36,25,11,69.44,30.56,203,11,192,5.42,94.58,11043,1853,9190,16.78,83.22
"01015","05000US01015","Calhoun County, Alabama","Calhoun County, Alabama","al","050","00","ACSSF","0000020",,,,,"01","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78303,16603,61700,35476,12544,4713,1358,734,21.2,78.8,45.31,16.02,6.02,1.73,0.94,53939,46788,7151,86.74,13.26,28493,24994,3499,87.72,12.28,25446,21794,3652,85.65,14.35,11338,8798,2540,77.6,22.4,107,88,19,82.24,17.76,1810,1524,286,84.2,15.8,39767,35548,4219,89.39,10.61,45764,833,44931,1.82,98.18,30453,4908,811,727,473,380,93,2897,2373,524,25545,16.12,2.66,2.39,1.55,1.25,0.31,9.51,7.79,1.72,83.88,26358,8282,18076,31.42,68.58,23451,9257,14194,39.47,60.53,318,75,243,23.58,76.42,3710,961,2749,25.9,74.1,85033,13826,71207,16.26,83.74
"01017","05000US01017","Chambers County, Alabama","Chambers County, Alabama","al","050","00","ACSSF","0000021",,,,,"01","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23621,6194,17427,9150,2604,866,222,99,26.22,73.78,38.74,11.02,3.67,0.94,0.42,15484,12999,2485,83.95,16.05,7851,6538,1313,83.28,16.72,7633,6461,1172,84.65,15.35,5848,4443,1405,75.97,24.03,0,0,0,,,156,118,38,75.64,24.36,9329,8296,1033,88.93,11.07,13634,156,13478,1.14,98.86,9002,1820,156,265,308,174,134,1091,968,123,7182,20.22,1.73,2.94,3.42,1.93,1.49,12.12,10.75,1.37,79.78,7716,3056,4660,39.61,60.39,13268,5255,8013,39.61,60.39,17,0,17,0,100,553,209,344,37.79,62.21,19598,2354,17244,12.01,87.99
"01019","05000US01019","Cherokee County, Alabama","Cherokee County, Alabama","al","050","00","ACSSF","0000022",,,,,"01","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18503,4241,14262,8056,2429,999,278,116,22.92,77.08,43.54,13.13,5.4,1.5,0.63,11592,10379,1213,89.54,10.46,6393,5880,513,91.98,8.02,5199,4499,700,86.54,13.46,434,415,19,95.62,4.38,83,68,15,81.93,18.07,213,207,6,97.18,2.82,10777,9604,1173,89.12,10.88,11758,259,11499,2.2,97.8,8554,1358,423,301,72,29,43,562,458,104,7196,15.88,4.95,3.52,0.84,0.34,0.5,6.57,5.35,1.22,84.12,5301,1749,3552,32.99,67.01,1160,347,813,29.91,70.09,163,48,115,29.45,70.55,333,50,283,15.02,84.98,23464,4423,19041,18.85,81.15
